"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017"
1,16644,10037,9466,15923,16195,9979,12146,10083,17931,12833,1319,179,166,7052,9997,18361,6706
2,16663,6212,13816,7517,3870,7919,14489,4394,11407,12298,18696,471,18747,17521,4033,4577,17740
3,17872,6372,3637,16583,3796,8993,14142,11109,4587,6086,17341,14834,5572,5314,18753,1075,8567
4,2638,15035,6525,12827,19734,8340,7467,18099,1064,12691,1396,9275,2571,17073,2987,8158,10610
5,11938,10651,19311,9035,17942,18557,19266,10304,319,6596,12453,2604,6848,13278,1387,17608,2854
6,686,6119,12793,227,5097,6149,12967,11846,4428,17741,16988,2138,11444,15620,10745,17685,10243
7,9347,8771,8147,2777,3002,4244,7337,18667,10159,19642,13392,14522,12867,8170,1534,7184,2398
8,16546,120,12496,11156,5457,17062,6427,17398,18798,17602,13949,6434,4696,2433,4499,14182,10267
9,11334,15456,7464,18913,8203,7538,14996,16094,7822,6060,17403,18839,11486,11190,11578,13173,6896
10,5761,12195,2630,18424,17572,4620,11528,3244,8704,5206,17938,14556,4694,4001,8026,8278,1251
11,1869,7147,13154,10407,3507,10995,6416,12301,4468,5084,983,11390,9514,12380,14395,15891,17301
12,19543,17824,12010,13479,18549,3807,10510,19826,12709,5097,16746,19219,5852,4846,7125,11735,7721
13,14692,16915,7468,17352,2100,12327,7304,3536,8978,11836,7742,577,2190,12075,8135,712,702
14,14499,11406,1072,9697,18631,16671,2421,12084,12141,6930,3476,14093,6478,5580,14670,3466,5984
15,18520,4460,14994,10864,13990,2045,7410,2231,13500,11089,12114,7661,6246,8258,12065,18740,13974
16,10765,1318,9597,2239,3915,14915,8117,7142,17563,19360,6799,12606,11010,19627,8411,17746,10837
17,2017,732,19861,9395,11063,14596,10512,5539,12677,4591,6319,16890,5057,1052,15190,1507,17662
18,5160,19184,15456,3677,19107,12655,849,9789,18943,11038,17188,9443,13327,14836,12968,5518,15851
19,14362,17416,4588,5872,7270,13100,12585,10551,12477,11443,1310,1613,12050,3507,11120,17665,14585
20,18740,14906,4390,13516,11244,16315,18563,678,10849,15121,740,12507,15256,18610,3125,6367,13605
21,16916,15251,16664,8339,9238,4092,14747,5501,3735,13830,1258,5018,15153,3286,11778,17151,19533
22,6940,4426,11442,15333,6404,310,4860,14778,7901,12195,16488,742,3887,13271,8738,19507,15098
23,12102,5569,14341,2806,5200,19315,8254,15106,3609,3609,6096,18631,19977,3314,6643,13189,2003
24,14015,10645,7213,17035,17789,1235,10016,2444,8406,17094,19105,1585,7634,11758,4564,9326,15805
25,19829,1177,19081,18469,276,9591,18369,14246,13894,9216,9729,13197,14226,1214,18774,10067,14408
26,5786,16044,13394,12895,6969,6011,11469,1183,16330,10043,16421,2775,3144,19518,12426,8343,927
27,5643,11170,12488,18665,18870,13123,8981,2427,1203,9113,6382,5936,12022,6860,9594,3584,16045
28,4376,4890,13179,6194,2879,17418,9263,11476,15846,12101,2978,9567,770,18275,2469,14039,11156
29,10250,3832,1703,2530,6003,11035,17901,15424,2501,17300,12178,8512,6268,3743,236,308,14286
30,5283,14466,17755,6622,3821,9232,1673,14954,3450,7932,197,15888,18190,2260,289,14380,5127
31,6574,5476,1074,18645,8483,4988,6681,6497,12165,16895,8055,4882,7071,17895,14532,14319,6121
32,17510,8498,1965,5846,15121,5957,12538,3584,3748,1141,12442,1850,10906,19521,3850,2078,1920
33,5276,18348,17138,4254,17681,5539,1410,4291,8723,13656,9182,7066,4295,3154,10592,16951,18644
34,19754,18777,19584,18989,9068,833,311,4987,5458,16177,12063,4697,12915,14956,399,13331,1971
35,14560,189,16965,16628,17622,7128,15281,9060,8296,13392,12662,16741,1612,18714,14438,4445,3372
36,19882,10301,4279,2791,3204,7588,19053,4150,7003,16207,7570,11583,13838,15984,16716,6720,8439
37,18357,10347,15088,9225,3094,7181,3187,1618,19613,4204,19721,11125,7409,6537,12861,10238,12422
38,19757,7635,13999,15446,4050,3097,12110,18303,8122,767,9179,4184,6821,16255,19459,7365,14254
39,13243,12343,14591,1682,2658,10585,13456,15955,3268,7606,19134,1874,12139,15721,14218,9240,14793
40,2403,11241,13854,11561,2003,11063,19637,7583,7403,1504,1814,17310,10152,7709,13709,15711,17691
41,15513,3377,14563,2265,19604,17423,8810,5422,12501,13442,2251,5999,18968,14713,15961,18361,2687
42,11211,10905,4518,13181,10579,18325,12855,7560,16556,9522,12263,19642,8279,10089,13757,8325,220
43,11272,1045,16868,6990,17392,8708,15425,5430,18646,4039,13659,14323,2615,15938,2133,6273,9596
44,10539,10822,19313,12319,17880,13689,19428,5864,18707,3620,2043,2418,14184,11293,15472,12074,13797
45,16855,12297,4630,18489,13998,1727,15233,13825,8803,16847,160,4989,9402,8563,7590,6257,8730
46,8782,5860,14916,9781,19139,2549,15732,16273,9843,10917,1177,7181,7856,13190,13082,12946,9560
47,9903,10357,10109,2541,3257,602,377,17858,7063,16203,657,6614,7527,551,10511,4672,7187
48,7939,18290,7099,9578,14838,300,19775,18959,6120,18982,2151,3914,16766,14419,10143,2529,16866
49,5845,11337,7811,1818,8672,16005,17987,9124,17687,14053,13098,19624,1052,19644,3792,6384,3085
50,3752,13679,3624,13084,5978,14692,17209,14906,3691,14364,4569,19140,17800,12856,814,3461,2398
51,10488,15099,7487,19106,9877,13732,1242,12406,12874,2024,4548,19717,7241,7675,14206,734,3339
52,19858,19758,10352,6100,18766,12301,12926,8956,600,15334,6878,8993,9793,5457,11873,15375,8871
53,9970,15017,1007,1152,4438,2189,4193,12335,2142,1453,1689,17759,4997,14708,10673,12009,13533
54,12099,5161,18428,14777,18252,16720,949,14208,2469,16649,19928,6043,9860,16133,2421,16513,4519
55,7741,10175,3975,4318,2232,6050,17449,8077,8007,4468,10388,2843,9815,10833,19898,19533,15038
56,9189,4261,10268,13866,13946,6432,17793,13545,19125,18878,8982,3351,10501,19664,2272,19760,720
57,2220,1618,5257,19372,14298,9810,13662,2277,1206,2396,9056,13179,13803,6307,15380,6212,9052
58,7719,17005,9551,17336,586,16788,10800,15497,2055,17004,9107,17266,8817,12237,19978,15711,8661
59,5491,610,3835,5693,18072,8432,3269,17268,10287,11586,3295,5304,13182,8789,14223,8209,8700
60,15804,10695,8971,2305,12235,8358,9525,583,18301,2198,11483,13709,1373,3774,1112,6636,12639
61,15675,13475,13729,3419,19870,8631,5017,10557,11766,12631,12756,9562,8955,608,9687,10176,1040
62,19148,9255,16211,17382,11480,2540,18303,789,10958,4549,3643,1937,5494,16848,18946,7150,2778
63,11261,2013,16396,1548,12094,17503,13324,8388,15438,8722,3482,481,8905,12780,13418,16869,17955
64,12457,12815,10100,1049,17578,14991,12855,6970,10300,1647,3199,2011,17952,12608,11870,7794,18620
65,1643,12713,4447,10406,11419,13061,270,18120,8431,8602,16460,3466,19634,7007,7093,16378,9171
66,6398,2712,8934,13908,4241,12950,9685,2032,7474,15961,6275,1492,3656,13683,8201,18866,16262
67,17447,9757,19310,1056,18372,1620,12355,5405,1017,11629,15782,13379,603,1715,15857,14925,17997
68,13473,8299,14073,15285,7036,4461,17048,18083,17043,13180,10484,209,10659,12790,15612,18318,16483
69,5125,7814,13587,6599,6976,8147,10053,6291,4084,4723,9556,10997,4688,9249,17476,5746,9996
70,6853,18953,19570,16589,12197,12896,1036,2051,5437,15035,2009,5402,10561,8785,8737,7319,15975
