"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016"
1,10600,18780,823,6794,2673,3637,883,1646,16157,7499,13369,12158,11025,5153,4290,9115
2,5953,13440,16524,8911,19627,12444,3209,8793,2260,2394,3993,17654,5308,10697,17716,4673
3,2645,17455,17315,9325,16138,14637,14538,15577,16985,9024,16955,1228,11272,7778,1917,18814
4,11806,10662,11879,6594,15039,12265,5513,16616,11361,17012,18952,14042,11594,16123,19201,19078
5,11384,16449,7053,15168,2322,11923,18003,18174,10395,10912,4735,18322,12892,13098,7931,14391
6,13195,10578,19228,18628,9870,6427,3207,4713,10501,12270,2259,11352,10658,4611,18858,13255
7,16908,10925,3172,10575,10716,5123,13030,9970,14046,5276,4714,15274,12645,1145,8852,3392
8,8317,15072,12281,7859,5519,10511,7037,3349,3903,8838,520,12356,18831,7981,5193,9527
9,5319,7666,13031,13928,8442,2955,14871,19708,16166,14836,8593,14870,18305,14503,10136,12822
10,3118,16175,11023,7825,5667,17160,566,6573,645,16646,4836,10814,1556,15283,10409,1832
11,2193,4902,12326,8537,4917,6981,4605,980,8097,11991,7889,3671,4337,8872,1254,18830
12,4235,5139,6707,2210,15597,5120,17679,15985,3300,14319,9208,8360,11301,19426,15126,18968
13,6005,2074,10934,14023,16207,12454,12950,4319,10650,1244,7367,18285,11137,2795,7591,6185
14,12329,12923,16485,8896,2337,3552,10173,17481,1657,15749,1741,13852,15400,13660,653,15491
15,2026,3243,12439,13420,4075,1338,3170,5595,3299,2604,11792,13329,18344,5739,15971,1255
16,7322,18814,14784,12962,18847,14623,14828,19382,17699,17868,12299,11910,3439,5495,8227,16482
17,9569,4385,18439,10568,9532,6766,19170,12453,14684,2752,16729,12573,4642,2846,12459,4804
18,11551,10292,5744,2134,964,6031,16663,8510,17845,15763,9041,6810,8471,1952,5577,1287
19,13050,19834,10142,18144,8803,1596,2958,3642,1744,16826,9810,5528,3829,4329,6534,19631
20,8725,13212,7220,15361,10081,12975,3994,18675,13389,2277,599,5981,8610,15853,13115,3987
21,14011,11234,18455,5813,10122,8561,15261,19261,13538,12193,5108,6435,12223,16556,16671,13930
22,14217,7318,2684,19005,19116,1362,17258,5008,4709,2857,5220,7097,18143,5089,5268,15990
23,6724,18099,15048,2898,18213,18973,4777,7170,10560,616,16099,9288,17014,19711,8448,14822
24,13887,1215,17310,18935,2049,5755,1013,18914,9382,1810,17998,16175,8054,9329,12757,2500
25,16051,13489,1735,5375,14763,10666,4873,7876,4613,19859,18812,16113,5395,19052,1721,12901
26,18673,17135,11199,17592,7289,6505,13177,4473,14766,15218,5405,3416,10031,1151,4655,4447
27,3532,15524,10138,17293,16320,10322,14204,16870,12287,6648,15720,19380,7429,8310,12937,1425
28,5015,10014,5799,7528,10711,2774,17433,16709,11703,4749,17228,11611,2487,4494,13737,7095
29,1088,18864,14362,3737,18475,16830,17041,16758,14414,14303,17651,12256,8566,1798,14145,6127
30,6916,8071,6817,15000,19663,18769,11090,13178,11544,14796,9402,1804,13302,728,7049,19638
31,1176,1871,10057,789,10841,11538,9854,7139,8517,947,16523,2160,8333,969,1253,192
32,3879,435,6405,8390,18339,7571,2044,2831,16321,7486,18217,6461,19477,4044,517,18313
33,14223,1784,11022,16816,18554,19247,11908,16044,5923,9351,17496,529,6399,11922,19982,12849
34,19581,6022,2028,4832,16681,17205,19553,17954,7761,9222,7025,19326,12250,2669,7657,4305
35,10219,1950,11697,12837,10273,9696,19062,13379,7792,5266,10340,11573,15480,10037,6648,4659
36,11657,6541,10265,9167,8702,4439,18694,14710,1945,6364,10153,438,506,16710,4350,994
37,14292,9854,17068,6203,6055,5986,14319,14215,2415,10322,6972,6272,12054,8082,16616,2403
38,16704,4474,430,9100,13835,13508,16368,19052,3906,7493,633,15223,454,19499,10813,2367
39,17823,3801,13394,15104,17327,12749,6890,14134,15348,17787,15160,4069,18631,6711,4412,10555
40,2376,1995,3617,17385,12879,11360,308,8422,13352,12910,7053,17006,11915,2102,16949,14532
41,11514,11926,537,7347,2939,6785,2243,11173,6210,4692,15645,18532,3919,19833,12552,9925
42,15476,2596,8818,10821,7179,9639,19991,5727,4304,11111,7582,14042,6338,7047,9630,17578
43,14567,16366,464,17698,11988,15122,3242,9981,5933,14638,3823,529,2634,16701,17846,8194
44,5900,13981,6609,3452,10082,12842,3859,14977,11184,2913,4672,13788,11680,11429,18341,3155
45,695,4701,15162,6176,8006,17697,15308,11207,18911,4394,16140,11568,18431,1310,445,11451
46,16074,6224,2027,1844,7771,8144,10118,297,8521,12345,5322,9715,6383,16018,13534,5703
47,12128,3597,12414,18973,7135,17638,16687,17936,15776,17217,9800,13109,19123,7674,6890,8307
48,476,737,16551,9537,19342,12595,7884,2149,15710,1026,958,8829,1393,3358,9508,4059
49,4858,201,14444,12092,3630,3620,10731,16513,12410,7896,11357,15784,13666,3703,19551,7681
50,2748,7208,8744,4943,8408,3461,7008,11531,15424,4783,6462,611,19033,1425,5997,2508
51,7174,13115,1083,14634,9677,19697,6927,4036,9956,196,11342,18057,4033,15770,5308,15043
52,3643,3766,12756,15294,936,18045,16876,12793,3288,11049,5613,16349,180,17337,3669,2350
53,5254,1486,2654,5873,5137,13071,19065,14969,10852,9653,4219,19207,3738,4747,9874,8132
54,1809,17708,19294,2392,18440,13182,16115,9882,17054,9384,6309,7118,7073,12607,9938,17827
55,8742,7840,17188,14811,1718,18572,15495,8131,14115,2191,6457,9317,18929,8575,7979,7913
56,14162,4296,17082,9371,1567,1474,18677,4189,17437,8776,16293,9227,19729,3956,12176,9973
57,15171,4350,5552,6610,14618,1507,1313,3812,15839,5056,15770,17741,7615,10123,13997,5314
58,15348,11728,5478,4570,18908,14619,11126,13589,7195,2846,14055,1032,5890,18163,5320,13105
59,12729,17478,17099,7308,17712,6316,4519,8994,1168,9996,19294,19019,16476,13251,12003,814
60,8649,14575,1440,3069,19566,15141,16598,8553,7873,6237,13724,17755,9836,11402,6917,1122
61,8301,4226,7132,9316,1994,10623,1117,16049,5037,13412,17988,7487,17532,1605,12180,16950
62,13113,9859,7877,12918,3612,11280,12390,17241,6470,19149,14730,13294,13912,16490,5057,17034
63,14957,19029,7181,6360,10578,10223,6841,2970,556,11124,4400,12651,6826,12924,1142,13407
64,7415,904,15585,10370,9752,3348,3807,14125,129,2031,13555,1078,484,15959,10936,9097
65,7374,19802,15040,9702,1618,10557,5726,318,11036,10037,3156,11896,1499,8476,10021,6233
66,2292,12291,298,12306,15421,18287,6605,10912,4230,19212,3979,17559,2204,17831,4224,2346
