"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013"
1,13279,669,12263,8885,18034,3989,5661,19099,10691,10365,7345,12918,1218
2,9974,3031,7201,11790,3842,2379,18929,8386,4717,13393,283,13233,13521
3,15894,5130,9932,9249,16982,4931,5878,16923,9510,18501,18231,128,7991
4,19704,3791,4979,4907,918,12667,18924,11576,18973,7520,8744,10153,14787
5,868,2306,10924,5135,19192,14199,4923,9869,8485,14522,1020,11182,12552
6,15025,9119,8239,1267,7788,17903,18693,19132,17114,19386,15640,14237,5988
7,19729,2685,7915,15918,941,17254,2449,17681,11612,15981,8897,509,12241
8,7001,8670,11594,6300,12933,16492,10716,10711,2533,13184,19919,11495,3380
9,17881,12191,15792,19225,15940,6290,5156,15720,17266,13409,17244,8496,14013
10,5831,534,8068,1119,8872,5867,7288,12764,3756,14747,11792,14892,3713
11,13114,4269,9493,11941,13375,15671,9854,8426,14276,9429,7629,10621,6219
12,4481,19879,10973,1698,3589,17891,14922,16339,4160,259,6437,15540,624
13,814,16744,13140,8941,6741,2305,5728,9966,11073,11968,18483,3009,9661
14,18219,16843,1876,14918,15187,10449,16070,9367,17560,2125,16311,17090,17549
15,2209,1074,7795,1014,5879,3410,17662,3400,12054,8660,8678,17159,2465
16,3700,19318,10567,5145,9777,17692,19158,5228,10740,12748,17557,4144,3536
17,17786,5173,9936,3646,13132,16196,9366,4133,15934,8261,3330,892,11035
18,2665,18802,18187,3445,10456,7637,8957,13916,6168,3540,7528,7922,17570
19,8175,13809,8107,12886,10129,9437,18516,4711,14856,19992,1443,7084,11692
20,968,17159,6596,8664,4055,11661,3259,2342,11649,13237,11114,17748,12153
21,10574,15121,6816,6951,4107,10949,19539,13771,19217,18991,2005,8967,11851
22,15962,6801,19958,9118,7756,5020,2270,17368,16563,7395,11192,8137,17886
23,8304,9521,3652,17199,239,14596,7220,14597,7979,8421,7766,1362,17912
24,17409,7485,7944,17119,17416,6038,4893,6096,13983,2654,1819,7865,16099
25,18766,6806,12324,16259,18320,16236,3958,17118,17444,665,12278,4556,17661
26,2368,9395,11498,13372,13567,14391,3095,2960,7244,15449,6862,1227,9483
27,13339,3032,19810,7722,8293,18217,10946,4490,6455,4899,4274,11927,17050
28,10191,6900,16386,18499,8341,7681,6065,16393,14169,19311,19181,4509,4431
29,4704,15304,6761,11045,12681,15029,4219,19227,10110,9006,638,842,9804
30,17471,2534,19450,19076,13297,2178,9150,12718,4538,9840,17760,19832,1657
31,13373,18403,11052,8320,12668,12249,15601,13052,6917,7122,1821,3473,9797
32,6761,13695,768,12539,13203,12547,12007,13700,3693,523,17889,3630,15238
33,10001,11806,15431,12022,2124,7344,15829,3573,1314,5122,18023,3715,10482
34,7045,17592,4000,7790,1372,4863,5650,1714,2291,18944,13831,19367,4870
35,4848,19436,18851,12407,15938,16937,18388,19462,15917,6668,10987,7096,11920
36,2955,10400,2848,3921,15782,17331,11619,3065,4521,12147,18118,450,17699
37,11906,7709,8822,10352,10831,16278,17470,816,5281,18777,2326,9326,6357
38,17602,3136,14586,19913,6625,6991,13573,7543,12692,18666,4441,6340,14402
39,4609,2813,12172,6003,18386,17283,2265,19914,1492,8728,11517,8083,11316
40,8857,7608,18039,2718,2949,14938,8798,18993,13118,19356,7806,7629,278
41,17982,155,16269,16493,5807,15057,10385,9630,3570,8612,15399,7457,10123
42,10819,2680,18371,13425,5629,12290,15447,7752,228,10247,4456,9228,8528
43,4843,19910,18131,19755,14979,11783,14523,19381,7202,15966,10410,4941,6036
44,19506,619,14052,2472,4321,15041,4201,8394,7811,5894,450,5615,13543
45,15440,9390,13342,9659,15794,14215,7581,8946,14286,2852,5794,15445,14164
46,392,6842,11598,12541,7923,1495,16218,9337,13496,5239,3186,12636,4844
47,18879,203,9036,7409,15804,7036,5692,4843,14738,7784,2171,5653,5021
48,2276,7111,13761,6618,3727,17040,13879,10275,16892,13572,4545,14132,15210
49,14095,6888,12480,11806,6212,14411,6110,2517,18251,14306,375,7362,11035
50,15146,3865,18787,11536,210,6212,2238,19771,3038,1901,1828,18993,15130
51,17994,6029,7697,9402,4784,5265,15768,2082,16691,18400,17985,13431,3783
52,14915,16249,11236,11561,3311,12501,2461,10941,14511,16558,3910,17460,10023
53,10606,3656,9711,11739,12164,15496,14910,14298,13181,1795,12526,19580,16272
54,17688,6952,1019,17295,19264,17849,18590,17138,11183,10145,158,8094,8991
55,853,4867,14252,18009,18963,7595,8386,17083,18099,7144,8273,3656,9299
56,4216,14006,4306,19617,5967,8314,3821,2951,16901,7946,17094,5178,6059
57,5374,1293,3640,11304,17355,3050,9317,3797,10485,14403,6171,13052,12000
58,10862,12740,1713,4501,10410,19645,10503,4029,8026,9480,3419,14190,19967
59,7985,17027,12778,10129,11681,1574,1937,17252,14135,9536,5761,13976,5055
60,4490,4421,15762,19167,9643,4377,7762,4217,4911,4032,15329,2053,11193
61,3374,18472,8970,4811,6789,8812,11148,780,15335,3074,19853,3400,3283
62,3669,18146,7757,13347,9080,12669,11236,15310,5879,1251,7800,8481,15193
63,3750,5878,19718,17704,3895,9078,16064,6578,7766,5295,15866,536,464
64,359,4363,13509,479,10692,16403,1183,13381,6488,10923,15615,1057,5200
65,8682,17836,3596,18285,15637,11202,15601,12885,18534,17392,5392,17798,14526
66,7060,487,2948,9682,4731,18324,13371,6521,4191,18131,19203,17089,905
67,18177,13296,8637,17284,4740,7242,10609,4964,17248,18773,7038,2045,317
68,18333,3967,2265,16469,3115,11030,4151,10737,4180,15164,522,14046,5658
69,9042,14590,2394,13601,5924,7543,1116,19734,17755,18435,8342,12701,9883
70,2160,19961,2767,5835,985,11464,13939,1399,18357,6240,980,896,11376
71,4287,13152,15838,12830,17601,11344,7403,10682,9827,17172,8441,2862,11127
72,18109,2503,8164,17202,18774,651,19855,962,18926,5467,3546,5686,17521
73,8185,10947,6925,3026,19867,11221,2058,2505,12558,4987,10094,14035,12694
74,9708,7841,7940,14258,13717,16220,1116,10464,9593,4039,17818,4454,9882
75,2879,10761,6791,19839,17117,7315,6275,9854,8237,3144,13437,16396,14872
76,5471,16949,11015,18700,19599,1270,15739,4927,14358,17340,19990,10981,14716
77,10565,10944,9981,2848,2927,18225,9830,6813,2382,17653,4297,19444,8005
78,8313,15562,4830,16528,19608,5975,13147,8952,5706,741,19393,1590,15011
79,13061,5340,9403,7092,13245,17331,6706,943,16781,2140,15085,12246,15008
80,11412,4141,11497,12392,15622,17096,17101,1034,10634,8589,8108,12626,15552
81,17518,18888,18413,8456,2710,13131,4058,17529,2301,15057,7956,6540,7147
82,2944,16144,6612,16312,4202,11064,7358,18895,12128,12812,15883,5708,4879
83,17040,103,13942,3107,7748,4122,4662,9405,8480,1236,8103,10364,9189
84,8559,4632,14636,14099,14578,3889,15658,1790,12813,14270,15008,11548,19105
85,17989,8999,9440,8416,5547,7581,15898,5401,18146,14229,18205,4545,9416
86,6345,13543,4333,19492,12181,14936,5169,9193,2827,13660,7801,16311,242
87,16853,12260,11253,15523,19773,18730,13213,17348,1273,10386,2194,10476,3006
88,14024,6137,9904,11863,6069,6158,12916,15434,9768,15233,8454,6663,5194
89,9837,3718,5783,14507,8919,17113,17883,17558,10267,13746,3313,15299,6847
90,13328,14897,11746,14725,6607,2758,15225,3997,10454,10550,2360,8032,12856
91,8583,15347,16452,976,16845,7432,741,8133,12443,18171,7658,9658,15479
92,14991,15503,19796,574,18145,13291,1901,9409,8571,13400,2860,19606,1456
93,7361,19990,8443,18019,5448,16142,6045,8661,7421,6107,17876,11003,8240
94,168,16538,7884,9008,1863,18055,13115,12696,11034,15271,3788,17962,4466
95,15926,10898,12378,7278,491,4959,18595,14227,12171,8135,4229,19073,9274
