"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010"
1,9968,8537,16163,19239,12573,339,5717,17281,12053,14628
2,12754,10968,2145,5558,9304,5040,5054,14074,7809,8755
3,18457,4415,12487,5646,6870,6134,5372,1563,322,12389
4,15583,11504,4237,18486,16996,13052,2333,12638,17031,8579
5,3696,17463,6012,11000,6896,15568,7291,9291,16554,8336
6,945,12008,14618,17739,19338,9691,6117,7784,10549,14427
7,15082,3366,4273,243,18391,10134,12835,8558,4001,17817
8,12533,4974,14093,8871,2543,16265,6343,19961,8876,14108
9,867,4334,14323,9872,5628,9433,7570,18347,1603,4882
10,17847,18266,16559,17454,19600,10147,7050,8102,10284,19961
11,1912,18096,4071,13193,3603,9752,17224,11049,8099,5151
12,10026,17594,2342,7156,1619,12440,1553,10190,18154,6247
13,12589,11223,19287,16587,14160,19759,12232,1213,8866,17754
14,3523,7487,14563,2749,14814,3637,4586,13448,8811,10822
15,2465,9842,8537,13523,8013,10070,16794,15956,5887,4272
16,19485,9789,3890,11766,13117,6859,1396,3853,12202,13798
17,9347,17421,15783,9708,5409,15568,12537,18445,14123,12711
18,16888,6594,16719,17118,10759,12889,14626,15598,1435,2999
19,18401,2942,2017,7023,17890,2809,5124,2414,8918,8376
20,3510,3681,3382,2311,15550,10768,4214,8076,302,17650
21,16794,4067,4202,11421,10939,2337,6056,4135,5409,13619
22,5498,2228,11265,19183,4181,3826,18197,3930,5019,5991
23,11186,19378,11960,18190,7964,7139,6107,14033,14835,14889
24,6124,6746,18685,2281,16374,13218,13560,7515,10759,1849
25,8293,12949,12847,7128,6451,1956,18658,1749,12595,6765
26,17856,152,17320,13606,8437,19611,17683,2065,17706,1906
27,8470,12000,2399,6841,8640,809,17938,5810,1524,14670
28,8511,2028,11622,8699,15514,10355,5973,6144,825,8429
29,10261,1915,15976,18283,3828,823,11226,3764,18101,4425
30,19479,1832,8391,7712,14070,8238,18764,18100,15040,15417
31,5462,12378,804,1873,15303,6346,4636,1493,16200,19844
32,16341,6981,8350,1547,1746,7816,17557,2818,11609,17186
33,4963,6111,13233,8290,9951,17885,19388,15778,3926,6240
34,11324,16971,13369,5369,5948,9285,7572,19029,8375,6991
35,18575,11309,13226,2663,13865,13498,8798,13799,18040,18878
36,18881,8352,2216,6384,6914,14128,1594,14619,1474,16045
37,14077,16300,11057,2639,13113,2301,18232,4922,15670,2558
38,9721,12577,7143,13340,6721,4271,9979,19449,17144,10952
39,6942,858,9858,19572,3912,3947,3786,17187,17845,4281
