"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015"
1,8128,16390,16181,18997,13580,5927,4673,258,8949,10589,6953,14031,7271,4155,7573
2,760,7331,8518,7604,2222,14963,2972,5254,946,3985,13394,5813,9989,13561,2162
3,5890,13464,4587,6381,483,15625,10818,19976,6478,17924,8530,6566,1434,16076,11567
4,10763,12824,147,985,12669,12987,17097,14732,2100,14748,18535,11372,634,2439,8069
5,18830,3419,15048,7780,4631,6289,15326,4280,3968,13952,11786,7313,1184,1105,1761
6,1942,15091,789,13876,3018,2228,12351,16305,4664,4102,9299,10442,12991,3780,17787
7,12757,13947,18427,2456,5283,9590,18555,9331,8085,1670,11736,4775,10159,541,4491
8,8285,6412,15769,7331,17096,3446,4031,17647,15443,8220,902,9230,6988,12327,14304
9,19223,19252,102,12178,7317,6645,16811,19507,12119,5360,10477,3482,8566,10945,652
10,13903,15877,6955,12232,17995,14332,15455,6343,3918,16712,13849,18674,4857,19300,12199
11,17983,1993,17050,4787,12109,7780,9962,5928,14110,2718,14179,2822,17349,18903,5209
12,4668,1706,6945,15107,13992,15304,8039,17989,3897,10311,8460,15615,8062,5528,17571
13,14806,10211,5850,3257,15587,6778,786,5866,15837,18923,14630,13556,17242,735,655
14,4763,4631,19020,11184,6162,6585,17182,4520,8849,7018,5105,5991,16989,13007,8014
15,8387,11025,19540,14917,9173,15939,16685,4258,15719,13743,18514,2140,3953,10631,5687
16,2742,6507,937,14995,17223,6270,6580,15033,12474,2048,12237,7661,1755,3116,12357
17,13565,6466,3119,3568,10499,16676,14548,15690,16177,5041,7487,11923,1209,5028,19631
18,19213,14263,8146,4480,9296,16569,17780,10636,4718,19034,7973,15405,12508,11451,10968
19,6046,3139,17660,6154,8982,6381,14782,16414,12248,8630,3488,8399,529,17652,9832
20,19742,7778,8252,2400,11824,4673,19055,7061,11502,4078,18790,14963,5015,2963,1900
21,18098,8149,950,7189,12153,13602,13529,13379,513,4313,11337,8231,3036,18789,16837
22,3009,1285,4359,11587,13705,8773,14424,811,18748,15971,2187,15271,5368,2372,15665
23,12245,8902,5549,1358,12943,13886,2195,6186,4866,14669,760,8508,117,15873,19073
24,213,12434,15613,8580,324,18384,16049,14333,13171,9739,14432,13806,8115,4123,7231
25,7571,16893,7160,5792,10180,9854,10221,11550,593,9708,3560,18075,17111,15515,8631
26,10544,4509,5033,2118,5452,3898,533,10845,16136,6401,17252,9182,2418,7675,14493
27,5396,7036,582,4795,15950,10560,14513,12217,10826,9187,13482,9448,7930,18597,10855
28,7843,18007,7560,8133,8764,10992,18341,5648,5413,10811,10518,520,1055,129,18719
29,19356,8123,19199,13969,15043,6908,15600,4823,17487,5608,10326,10813,12514,15510,521
30,3654,8090,16977,3512,3574,14962,3683,18395,19825,5246,7730,9634,8893,15077,2584
31,3960,10142,14259,12847,10937,2517,7655,4304,9638,19259,4500,1339,13344,15381,4095
32,6064,5592,593,5424,1186,18780,4696,11919,12495,7907,17377,3409,3045,3788,9158
33,12948,553,16480,1337,9281,1383,6966,9041,1591,16910,2845,4727,16667,5455,2696
34,15968,775,19985,4535,17407,18846,5878,1600,6811,6193,18811,5506,13861,8910,13213
35,9289,18705,19527,5546,15117,1228,3255,3633,14604,13171,17271,19304,733,3824,17639
36,10596,19749,19289,19893,13867,535,16951,7835,17285,5927,8726,493,2104,13991,1102
37,7185,8547,4438,4673,19083,19410,7361,15254,13351,7831,5801,12946,19098,7652,3052
38,10598,9823,11484,19487,7646,2500,6535,19875,7480,16353,11192,2619,13147,15783,11525
39,8371,18316,7295,8638,16229,11730,191,11949,1471,19540,4968,8794,14367,11692,14413
40,3636,15398,16136,17124,2690,17796,16902,9615,8540,15845,9033,678,2461,9876,1447
41,5080,12053,13187,2447,17102,4056,4199,13847,8461,1110,8613,15822,8654,3164,18775
42,6021,11723,18573,2559,11829,4516,10287,14615,10388,799,11521,19944,8606,8783,1297
43,18286,16685,7464,10207,10611,14416,17867,1838,17921,1805,2686,17386,13759,9809,11006
44,3549,9703,3668,3965,16863,16394,13586,2411,13229,12295,3041,18567,4180,6983,8593
45,10534,8852,16864,6931,12247,1963,14049,11002,4471,14896,2605,5637,18446,15085,5509
46,3852,16760,2292,2007,1058,7834,17491,8925,18945,7701,17800,15688,16276,438,6059
47,16277,10296,12906,3512,11391,12329,7863,8844,11586,13692,14578,14017,10870,3299,14572
48,13656,15839,15054,8818,808,2527,3060,14163,7072,6110,12792,2764,7608,10440,7161
49,16275,5197,12359,1053,12390,1524,13078,17875,15300,7052,6525,4217,7227,7941,19598
50,4536,3820,878,2982,7959,1838,8204,8393,9411,13379,5442,10214,19737,8016,10476
51,16377,9262,11391,10190,8947,4943,9170,2381,8464,511,6295,14704,8361,5950,5408
52,8460,960,2629,2666,4548,10039,8330,1134,18524,17586,3555,6631,2089,1642,1105
53,7855,10514,569,15551,1854,15938,9409,1392,14250,18754,6740,10879,16637,19835,11739
54,11193,16632,15830,7681,1468,3528,10164,1219,625,7400,12965,13706,5450,17790,15294
55,18968,12948,808,18651,13638,14864,12133,15265,2574,16937,12877,8246,2696,6933,12374
56,3713,10544,8387,16226,940,8608,13413,4771,14468,16971,16120,3651,7537,8827,12433
57,16665,18759,6331,10217,11486,10084,7680,3713,15967,9196,1427,3659,17811,15317,6479
58,607,19338,4912,594,4125,13786,17884,17114,2760,14983,8668,19417,16001,18284,8259
59,13295,3226,12655,17797,17704,10833,4612,3255,3786,17620,17082,13505,5817,4561,19619
60,12122,982,8470,15000,283,18548,8473,12841,2136,4313,19872,12127,14184,11732,18819
61,16092,5689,1562,12426,13917,3618,8391,3714,18771,3885,5300,12090,15050,6251,2932
62,1351,9873,11319,4448,1431,7688,13792,11243,3333,8195,1889,17195,372,8297,4669
63,1879,5245,7350,4176,12532,7807,9263,5507,8378,12037,2697,19204,4549,6128,13579
64,3669,13109,19877,6237,8761,14258,15822,16511,3801,18675,15628,17184,15869,17122,3607
65,6342,12664,7365,3130,8658,13016,9021,10152,5510,792,4333,16979,2516,19687,17683
66,14258,4133,7229,2223,3256,565,8927,4059,4133,6665,2663,14877,3554,13876,16413
67,7226,6131,11750,4253,14986,2727,13620,9493,7603,4113,9631,1062,4730,15682,3592
68,10713,13462,11521,7189,17195,3661,11436,13834,1695,9042,1055,702,11042,9642,11900
69,1814,11139,1236,17182,4100,18226,19920,252,3895,18839,18449,18237,11021,18399,16937
70,14082,11624,19611,736,2204,8080,1722,8373,12536,6499,5696,5024,9215,3394,1183
71,4426,924,6461,16749,9815,1230,12579,7648,10704,18864,12519,8961,17038,15883,17150
72,4733,6133,3783,11967,4577,4785,10449,3844,17840,719,1725,13855,3537,4405,14707
73,9262,6031,17599,10016,15743,16158,15255,9179,5200,14944,2483,1709,17516,3152,4772
74,17811,989,975,16571,11505,19308,264,18521,13813,14290,343,15824,2646,6056,11830
75,12611,4662,15926,3038,1985,1954,11789,3309,19453,2932,12986,19529,1743,18666,5778
76,11921,4628,5823,8208,1951,14712,13714,12644,2379,2593,2933,2935,11976,18864,1854
77,19855,2141,1261,1602,3013,1400,2665,3145,9110,8796,14034,16792,10515,4187,18293
78,8243,13393,18603,1491,10449,17435,4727,17611,2822,3082,16476,12466,4410,11815,505
79,4042,5209,14308,11271,10589,3467,10679,17751,19751,19639,9926,11373,9650,2290,7634
80,3417,7299,15081,14698,12847,15204,5877,16546,18042,7835,18167,7184,12913,3805,2756
81,7676,9545,19093,5572,9738,923,13083,18463,7055,3648,3366,18141,14308,2668,1922
82,2590,7938,13411,154,5059,18604,4349,7639,2436,3926,13251,10186,2512,1241,6239
83,11325,18668,10974,3293,10896,1382,16051,8242,14054,6823,2712,19564,8891,17517,6096
84,12074,15673,12828,17678,10931,2985,18880,9325,14801,6852,2860,2730,6501,2525,11559
85,7365,12903,1551,15883,17141,3940,16891,6111,12883,4866,2678,10509,3017,13618,19041
86,4973,1367,3628,7867,4217,17418,18399,2053,258,7211,7939,10948,18199,7014,3167
87,15513,5401,16924,1190,1481,10402,9484,273,12370,1208,18536,15396,9562,538,3690
88,5030,11398,19558,13668,17960,11344,1647,9449,5945,2897,18921,11332,6804,7507,14698
89,4950,19202,16636,11812,15328,16347,2968,160,6340,14356,3097,3148,11550,12955,1773
90,3420,997,4179,16862,19031,15024,11295,10159,5011,17199,2455,5139,4557,19698,5307
91,4102,15351,17725,13106,8978,9627,13022,1419,14637,2764,2097,15698,5759,15418,12855
