"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012"
1,4330,14123,9674,1337,18608,9533,18086,3379,3091,5824,19349,13208
2,1673,5483,19632,12512,5953,3474,7430,1383,3046,8629,16267,15567
3,15613,10755,10631,5557,8084,4385,16577,12521,18007,9922,564,7890
4,19846,9511,10227,3233,6291,16100,7106,5542,11257,19418,11840,1251
5,10459,13663,14707,2895,13099,13977,10594,3875,1968,3642,13945,14141
6,4438,17821,13955,8182,16445,7270,17699,16756,15134,10690,11291,1760
7,19405,13588,11253,2291,14682,19043,3767,7292,13381,5008,13855,4322
8,948,6602,12405,17279,4055,17025,16576,14315,19112,14248,2578,6644
9,18734,17967,7490,4439,19774,4722,1738,13506,5633,10811,4892,5885
10,5815,17596,13339,1022,17067,19543,14522,12788,4811,8508,1374,10802
11,8532,2018,244,18893,9739,9868,4001,17714,10586,1895,17254,1045
12,13978,340,2360,19881,5576,17578,15339,290,3325,4315,2206,16997
13,13156,6830,11431,11194,15485,399,2403,880,11207,14665,18259,878
14,2691,3448,19350,17924,524,10207,10813,2303,11643,6085,15646,19858
15,447,2690,4746,10547,6375,19241,9955,12313,11319,8829,16672,15093
16,15372,3423,11098,12805,4169,6417,9704,7351,18139,5239,15186,4355
17,9626,16026,7617,4390,10368,15447,9011,11197,11954,12251,5779,118
18,3622,16070,16864,925,3381,16581,8586,17754,12922,14455,14957,4669
19,4392,11376,10488,2097,15245,6553,3324,10440,11606,820,2677,9931
20,296,5755,12963,8269,8628,13916,9329,11602,9152,12243,1589,637
21,3331,6724,9113,10236,1644,1119,17950,19810,18379,17549,6618,7887
22,17432,1165,4445,16187,1024,18958,14980,16209,7402,16655,5840,11907
23,7059,7230,9382,7973,13459,2655,10438,15234,14698,10558,19324,8785
24,6220,3578,9310,5231,8458,9049,12239,7678,7414,14385,17521,308
25,19698,11912,4417,13170,15525,6028,16046,15938,7374,15450,15272,13173
26,12613,7001,7102,5709,2167,4803,11429,944,9223,8083,9392,3849
27,15939,11248,17425,10347,13358,19592,13499,367,19874,5366,10197,14871
28,17351,10031,12872,1033,9009,701,10523,16809,13188,14575,16648,8790
29,17327,12365,16020,9627,8047,13279,12626,8701,3380,336,2078,2901
30,4917,18562,3890,9918,8502,13628,19512,15228,19964,10838,13464,17282
31,6503,1264,3804,9862,12425,10593,6015,7563,17554,6669,16211,3214
32,19992,4494,4610,4490,17632,13377,17001,12790,8869,2020,12907,16138
33,18868,1762,19390,8710,12618,8612,11842,15972,19226,3241,610,5553
34,605,2106,8774,8252,18726,7098,5455,2905,14503,1626,14967,8643
35,3290,11251,147,10186,17344,8777,16919,6928,3272,5578,11221,16465
