"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013"
1,2372,17658,11622,11344,13116,15493,17930,8330,16542,14548,18295,7996,18884
2,4034,4557,3125,2723,1900,16392,7334,13559,17419,11471,17031,11574,4269
3,10112,2956,16613,11591,17512,6500,8650,15565,2240,951,14294,19841,16845
4,694,13091,10043,19508,11600,8576,12904,12169,3038,891,7467,18986,14409
5,13025,8962,6779,18010,1852,14295,4213,842,13072,15265,13834,16040,15584
6,1604,19478,12810,7022,1434,3345,16684,2387,1523,2549,6987,19610,15257
7,5543,17469,11562,17504,19671,4785,2415,8029,14167,12003,4699,19033,1586
8,12885,19594,6861,6915,18835,14686,2327,17494,11627,17459,6014,15958,18420
9,13215,19338,3805,7400,9342,16633,4475,10209,2487,6308,18150,13308,3268
10,4260,5098,3117,12610,13792,9351,16319,17454,15627,7407,6013,6455,3072
11,613,10328,1421,2426,18452,2646,13200,5394,2728,1452,217,7959,10424
12,16702,15648,14968,5772,1874,2322,2348,15739,8995,17746,15534,771,17243
13,7462,4108,16349,6126,16931,1241,6591,10969,15512,19374,9426,9641,12523
14,2907,6065,12816,1709,2782,4973,16445,18399,10794,14569,9679,9678,16188
15,14043,10470,9079,12010,12943,5099,16157,9831,19224,19219,8647,6665,11831
16,9296,2085,12593,6424,12716,9271,1465,11582,11044,9403,7536,11555,10310
17,13208,1578,8760,5732,18151,12410,8461,9287,16054,12977,18544,18348,10988
18,14794,514,5744,15543,6314,16820,9930,8613,11679,10593,8278,19961,2395
19,4221,5041,4330,6776,8379,8097,15290,19086,13693,9898,6929,11463,10721
20,2567,2698,18892,9911,15417,11169,8359,11895,13649,17079,9951,808,3862
21,3493,1125,3212,14505,15034,13887,14452,17380,17617,4698,10352,16017,2319
22,12278,1388,8887,8348,17722,18574,19326,11285,4528,6971,6219,12410,2224
23,11575,5386,17271,10143,18510,6497,4270,15461,6062,14176,10846,15824,12623
24,6189,16061,10530,16294,8331,5522,5191,12343,16028,5789,8503,10236,1146
25,6551,4407,6454,12147,11769,5241,15829,14427,17632,19680,5366,8743,13573
26,14321,6228,13237,9944,19898,7826,564,1024,10395,13510,17326,14454,1022
27,10315,19653,5507,5655,8858,8743,14912,12891,1988,17832,11695,17811,18953
28,18865,13168,17094,8443,2005,7576,4566,5953,4017,12002,17499,11422,8777
29,8752,4694,13739,13200,1889,3205,18544,12349,17987,13293,5212,16568,12652
30,14576,5433,1092,2022,5380,11566,1708,5015,15155,19995,6364,6019,3799
31,4955,9660,16388,7942,9304,16796,5258,13619,18130,7727,5915,2302,3533
32,17465,14140,18981,11954,17575,13674,14244,18852,4557,14781,621,3833,1170
33,8291,6313,1005,11164,17894,13157,3065,6078,19985,13457,16206,18849,15094
34,9360,15478,1726,10806,4428,18368,5254,19960,10263,4060,19144,14631,12171
35,1560,18111,17218,16796,11264,436,2199,10294,12907,2831,8700,4939,15051
36,9210,14857,19143,3409,8390,2502,2860,16777,16651,2912,16298,16578,13866
37,13175,15722,17356,3208,2588,6171,4168,5060,2770,2251,13295,3229,6324
38,18624,6453,14406,6240,1843,4290,15283,13361,17741,5942,18316,19146,10736
39,1521,15018,3079,12887,14372,15693,5974,5822,1193,8544,11275,12544,11320
40,17634,11011,7878,5216,16739,8156,14627,10394,8484,8685,7929,12842,12724
41,19342,15702,14969,1598,17854,4590,4156,16566,13360,19251,14064,13937,18527
42,4904,4390,2295,11917,6734,11579,3611,5808,6786,14236,7891,14903,17410
43,11367,15598,5092,19482,16077,15571,13952,15574,2938,19099,11747,17786,11641
44,7686,6750,2033,7601,12597,1910,12563,16570,11500,14736,17474,14186,16935
45,5015,1829,6903,3521,3781,17637,17542,19181,15485,7210,9311,18179,568
46,2917,12600,9622,14767,4849,11588,19463,15535,4604,18846,18123,15438,10171
47,16005,17178,5512,810,9915,9002,7917,6311,8539,1235,14879,19471,3295
48,6387,8292,15460,15822,18321,11724,14027,9663,4822,960,7884,1353,7894
49,15712,6143,10326,3901,148,672,14429,2037,19437,13496,2203,15898,3959
50,19236,17425,10064,3764,3193,17547,7011,908,10540,12814,11815,5005,3435
51,14578,19680,12493,13901,11438,12020,11859,3836,9235,15798,18965,14511,2099
52,9710,19598,5123,4019,8345,9933,17454,1771,1211,13601,14380,16484,15271
53,10222,15525,995,1867,15299,19528,3055,1777,4088,7782,9694,2437,5145
54,3477,15970,9030,8652,15236,12786,7153,2366,4679,1938,14416,15188,2559
55,169,14037,16840,9300,14518,10004,2773,5923,14138,8389,15835,2625,14674
56,7800,19884,2355,11249,9662,3866,13254,18534,7957,1442,17458,6457,7689
57,6748,5191,12192,19576,11890,10104,13262,10464,2030,11355,10087,1972,10644
58,8028,10850,8134,10966,2383,3973,11043,17128,4243,10515,1665,4054,16810
59,17182,415,6997,8063,14572,16924,16353,3519,11035,3709,5473,19229,14868
60,5051,14907,3646,4215,14646,17451,14680,7506,10403,13625,18979,1642,19643
61,18496,5740,2989,5488,11862,16406,17712,17743,9206,14132,15976,8539,18687
62,8187,2641,10315,17385,3186,13729,11008,3974,16526,1068,10025,7277,7550
63,13307,5780,16993,10895,10655,15338,11939,14118,11957,11080,18431,16366,13940
64,16723,8795,14197,7425,16064,8239,2857,16084,3625,6100,16871,19822,18459
