"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010"
1,16300,14673,4957,3920,19951,14438,16217,13982,1139,3075
2,19669,7487,14727,18297,19809,18558,11390,17565,11934,10253
3,14231,17055,15630,13446,12848,10247,16475,9901,17037,9490
4,6052,16743,18514,17730,12669,11520,2873,14703,14808,903
5,8515,6834,19301,4147,4275,10805,19005,3142,16410,14829
6,6592,16934,8263,14226,11798,4530,15113,2632,10130,10268
7,8388,9221,9543,15308,4927,7298,4625,12767,13844,6143
8,4946,14163,8312,8125,3501,2907,10788,11282,787,805
9,6041,267,6724,7434,5642,13934,10465,4910,13098,4903
10,8945,8532,18078,18519,6393,15181,19543,6204,11935,8166
11,7974,2385,5439,784,2315,18530,7599,2284,18294,11202
12,19116,17144,2831,19994,14672,6968,7495,15068,8927,14584
13,8360,8732,14852,4049,965,14746,14199,3137,11578,1119
14,4768,13824,18909,6461,7801,9447,8395,7936,4570,12426
15,12655,18087,18859,3046,3154,197,13397,18563,15385,1422
16,14883,14901,6843,11512,17424,3054,14639,19337,7145,17307
17,3731,11718,13246,10924,9571,12991,14034,15122,17521,1326
18,143,14103,7111,5841,15085,18924,11241,17427,8429,2158
19,12989,3299,17320,8022,3148,8550,1865,187,4095,15281
20,10374,7417,7692,4612,10643,2376,1177,17037,3877,7273
21,12702,10082,1111,152,17783,18629,8934,18896,15266,12732
22,2263,13364,7817,14232,12674,14305,19113,2797,19856,8677
23,6870,8923,18968,11162,7428,6257,1717,12804,1849,12470
24,14820,672,10359,14668,10252,9301,10365,6635,15612,10036
25,6421,14715,14018,16173,19521,278,8080,7643,16553,12427
26,3784,6686,16695,8452,13589,2822,2623,19002,5243,2060
27,4154,630,6790,17955,16772,8898,2415,3306,6648,2495
28,2092,2062,7080,2232,12555,7700,19371,5559,3067,16916
29,14615,17748,13586,1044,19959,10624,1312,17317,6680,5165
30,19000,2014,18831,6913,760,14894,6946,18493,6655,3330
31,2348,3445,4228,14587,17148,18588,19407,9941,2753,15266
32,14345,9979,7159,17867,17909,6540,12078,7348,7997,17598
33,8039,6416,19874,10804,16585,15792,824,12795,6317,9583
34,19106,13556,14980,16622,19239,17908,16165,251,10428,19595
35,659,19877,10211,15510,18138,10370,462,8591,4186,7539
36,18377,13935,15687,8413,1710,772,18056,14440,14292,16720
37,15123,13984,12064,17106,18032,10272,17748,4642,12687,10105
38,15906,5813,10410,13908,3937,245,1916,6301,17105,5093
39,10023,17244,12028,19574,12167,7786,13168,5186,5424,14920
40,19700,4093,18959,6115,1117,14433,4641,2906,8483,16170
41,17183,2269,3526,18547,1359,4129,4546,16117,9051,7312
42,18429,2334,9380,10429,6207,16332,4897,13250,1570,15191
43,18296,3019,9533,15861,875,18882,16697,4825,15963,18389
44,9881,4095,3705,19417,16118,2261,16264,16865,14059,12239
45,176,16727,15566,11247,14903,16532,16729,10642,19875,515
46,6782,199,10597,5927,13309,18712,5415,12747,4385,248
47,4458,14507,7884,9167,10736,7322,4328,10992,7694,6272
48,4307,17224,938,8781,4291,7689,7673,13543,3095,2242
49,2512,5910,1543,13076,18097,10650,10877,6512,12207,4245
50,11308,10214,11389,9243,13475,5563,18737,15443,2479,10443
51,16497,9925,3583,7826,6471,18542,1932,8492,15786,1106
52,3058,1871,12657,2497,13668,6277,6367,14346,6680,8086
53,13718,3458,12665,4181,11722,642,16373,4440,5104,6861
54,12655,3570,18007,1582,8064,6174,16013,2568,7256,10249
55,17871,17496,16875,15785,10098,13437,5951,8249,15514,2771
56,2235,780,14125,11809,3377,9852,11676,12071,3271,14017
57,17910,14366,4053,14572,659,3438,4913,14004,8403,9850
58,9460,1098,14677,13692,16041,10530,12843,19404,3446,12885
59,3032,380,19001,2212,7046,19542,13350,12277,3164,10883
60,12012,6851,6000,16439,3935,2751,12253,16699,4310,4862
61,12653,3615,13700,15623,12873,19095,5951,10447,5900,9919
62,16399,16008,10923,6618,3332,14664,2048,101,8713,19054
63,8317,505,16126,17563,11538,16250,7647,10271,9538,10297
64,8354,11572,2236,18885,5388,19766,16134,17700,14410,5917
65,4746,8126,15379,2336,13056,6305,16636,11783,8665,18528
66,16261,11944,16240,8429,1371,9015,6262,1507,11887,10128
67,18020,15854,12393,18351,4153,5546,367,16807,8229,9941
68,8079,10979,6603,14649,11079,17828,7834,3970,17243,19120
69,10179,7242,3581,14263,8137,884,3083,4881,12697,16553
