"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011"
1,16464,10599,11813,16300,6876,14285,3628,15657,3356,1555,5195
2,10094,8090,8077,19177,202,159,15838,10172,13129,14995,1517
3,13737,14434,11703,6262,6362,19410,125,4013,2150,105,1623
4,5566,19877,15810,9493,19655,19776,7768,6763,6165,6164,11573
5,1640,814,18417,9482,7691,7349,6255,5791,16534,3887,507
6,3853,9304,13838,809,6964,15012,14993,5070,15214,17062,7770
7,9773,8782,12466,17716,15608,12908,13436,13431,9640,8537,18387
8,6380,18764,1358,6076,4859,6019,8632,19942,3757,609,12220
9,5182,2683,17882,353,15919,3773,4928,17130,13743,9654,1793
10,8587,5321,5902,2696,3596,9558,7686,5291,1345,633,10777
11,6306,16686,10737,2817,17046,13569,15537,7725,4401,1477,4311
12,18368,15912,9776,15374,1909,6224,2441,1331,14508,2996,7219
13,11888,19779,15042,12568,6360,14675,960,15838,9718,8745,553
14,16531,13548,14397,9521,15258,2608,8904,19512,9982,14238,18198
15,1440,18606,2430,3059,10261,17696,19084,2017,6008,7142,15084
16,10717,1757,2361,17975,5054,19510,9170,5434,5640,14633,11144
17,4828,996,1825,11440,9392,13824,3504,12698,2480,14879,2433
18,9522,1817,10903,5586,9654,1325,10971,12958,5569,870,10947
19,15533,18432,16267,8278,15256,15444,4172,13737,3491,7603,16656
20,8336,7388,5856,19531,1368,15321,18425,1993,10356,10590,10234
21,1935,6928,368,10900,8723,3856,13450,5594,4636,4994,3395
22,1283,8875,8376,17688,9109,1019,13264,10785,8565,1343,5387
23,16295,2568,15793,19086,12547,4515,15452,2271,558,2071,2127
24,3983,7835,7505,5293,16134,14860,9389,18790,19901,15131,17159
25,7488,9281,16774,10148,7781,18228,13794,15292,16422,4556,1320
26,2174,16252,5827,5487,18218,12957,18011,7460,9714,1509,2207
27,11346,13930,10943,10676,18394,11222,14281,11555,10280,11450,17259
28,16707,9442,4008,15094,12734,512,18414,18312,17331,2640,8182
29,15128,6630,15906,6980,1855,9797,17667,1375,15518,2382,3190
30,4662,3016,12020,4399,7250,16225,17870,11939,7354,4842,18463
31,6285,12459,5019,15913,2691,12388,4557,14936,1063,19264,5277
32,15423,3199,4707,7552,5142,334,2462,4979,17206,12789,214
33,11779,19380,18375,15136,5670,19881,18423,9492,4800,3508,7637
34,4962,4611,17703,18472,4150,6526,6366,18274,14084,11462,15564
35,11244,12736,7324,17364,3569,13165,9353,10336,19279,4329,5327
36,7753,19337,7186,1180,18729,15816,19819,3605,15210,4308,4564
37,12804,11344,17083,12224,5522,4328,17280,13421,8945,13471,480
38,2888,167,13899,3433,14956,3471,4829,11240,5921,14413,15927
39,18520,6298,8717,13350,16246,3736,16657,12502,14626,3887,10847
