"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013"
1,5038,223,16556,9154,6903,4906,7901,7225,17154,5104,15488,513,18876
2,1035,18005,13229,11936,2830,16521,14069,19028,5946,4339,14837,8552,8761
3,6452,7629,19448,7056,12647,2473,18724,12563,6444,3297,1194,16778,8229
4,7507,2551,13078,15475,16768,8465,12624,16926,171,16917,11480,5205,16452
5,7884,19523,1271,591,10541,1572,4207,17282,10998,9180,316,12937,15771
6,642,11256,15153,969,16374,1747,2466,18794,11157,12069,13303,2235,14805
7,10753,2383,2878,7214,5054,4580,12954,12305,18270,454,4761,8082,13382
8,14901,17750,5502,2530,9621,3359,13891,11232,7096,17188,5042,6600,4380
9,121,14923,16545,19963,17573,7566,19711,769,2418,12561,17151,3447,6204
10,8639,2964,6442,10948,9996,15573,5160,9425,12952,11407,8772,4748,11732
11,15430,8353,5216,5178,17287,18701,7825,1198,4816,1787,6293,5039,720
12,12390,13134,6294,3395,18699,1372,8466,4990,7292,15573,11964,19671,3550
13,8072,13865,10792,5795,10606,2558,14544,4132,288,18904,1495,5340,2299
14,10695,295,1823,15071,12736,17787,7181,4760,1242,3153,6875,19792,3335
15,12138,7926,3090,19817,6928,16564,9805,14156,6958,3807,17871,5827,8917
16,6192,7511,11079,249,3655,17121,8490,6477,19476,16564,19962,11748,10537
17,13071,3707,165,10369,15401,5194,15029,2977,4076,5110,19944,3839,10285
18,7260,12835,1327,11126,10318,12803,11000,461,7556,8730,6768,4910,12873
19,12159,3585,7992,14491,17805,18705,642,13645,369,2096,15262,9101,470
20,4656,10090,10936,2440,2749,2664,14169,187,17014,309,1955,14006,1400
21,19512,1683,7826,18567,18882,3484,5080,10284,4117,4823,9376,18860,438
22,14878,7434,7754,10967,10601,7715,13195,1053,8936,7109,11914,4625,3734
23,9745,5883,17239,5305,18100,19075,11530,10881,13595,1210,8677,6786,3857
24,14587,10094,16209,18747,3323,4864,3524,18118,5197,12750,582,14446,16012
25,17127,19125,9848,3816,16268,4835,15370,13829,11608,7102,12692,438,4519
26,4918,15211,13584,5503,17551,13042,14400,12245,6231,1008,558,4981,159
27,8174,13784,16097,18657,17071,15603,19587,6914,17392,18082,17079,5714,8674
28,12764,16799,5790,4624,916,16031,19910,2822,18411,12436,10928,414,19567
29,17526,551,19714,14387,1805,17821,12453,19615,19050,14158,14595,7660,6672
30,1264,12774,18997,11024,10973,7351,3364,14624,16070,16991,14367,3448,16294
31,17867,6578,4739,15608,4820,12165,18963,5404,4646,12447,7170,2768,712
32,13196,9621,6950,14734,6291,1760,17045,5187,6231,18838,2138,15101,18488
33,5203,9348,9808,6164,2632,1978,18781,1197,11196,19583,16413,9347,6288
34,14887,10198,14732,14849,19161,18177,15235,9415,15469,15721,1918,8837,5734
35,2448,2071,11122,11383,17341,14575,151,14388,1783,14701,12417,3887,6024
36,4343,16497,11868,19490,7853,10479,14951,9608,13749,10374,17785,3866,1583
37,3880,2778,2988,14215,8099,18028,19438,10165,9913,5821,14802,12077,4926
38,17149,15077,1152,14411,9179,13823,10489,11070,1656,18478,3220,13286,3164
39,7658,7713,16815,17338,2448,309,671,13469,17093,1677,867,3400,5709
40,19038,19569,12492,3999,8884,7835,11316,16267,8142,7577,9101,19726,11326
41,6664,5528,18859,15994,4337,10817,3661,130,7348,1610,15638,12115,6396
42,7743,14295,15397,16978,6284,7180,2401,3454,13961,14371,5917,11143,14536
43,9921,10323,18707,109,16472,17882,8268,7901,7469,13878,14660,4335,2493
44,15017,8977,15385,6781,9847,17210,10486,10392,2538,9455,15550,9070,5855
45,513,6948,12589,10282,5644,4827,4052,16895,18019,13008,5342,5709,8617
46,5771,3441,18878,6209,10420,13393,12369,10349,18623,9273,9582,19368,4097
47,631,16259,15160,17932,13615,5602,8819,9305,11865,649,7970,4860,2134
48,154,731,1478,7422,12435,3613,2785,7293,16002,8719,5336,9793,1271
49,5445,10975,7681,421,2623,11795,9865,879,4718,19078,3397,5857,443
50,3917,2215,12537,7897,13189,13261,19923,13640,8456,1668,18099,11969,15119
51,3377,11529,14115,12406,11392,15638,13674,4591,7264,3446,3912,9014,818
52,5908,3274,2528,6600,6376,8803,7591,1123,8173,12857,8267,15832,16435
53,2420,18353,15054,16207,1917,13366,3412,16004,9808,4935,9182,5120,8493
54,19910,13972,7971,16381,17793,18837,5547,5717,16778,11877,16362,6525,3936
55,13068,11876,13330,1014,1063,17645,18281,4389,2577,6559,9034,1519,813
56,8057,10989,10474,19625,7859,1237,8933,19532,6312,8689,10081,10863,7664
57,3103,3180,10326,18120,679,3591,12910,16826,18472,16902,137,11924,9034
58,1292,18264,15973,10787,17900,7334,10362,969,14725,1698,16039,16341,8763
59,18632,12405,14027,1449,19942,18133,14985,15777,1324,18319,13045,15728,13603
60,18854,7756,7312,1056,19648,19513,18690,13572,5181,9751,15068,19551,11254
61,9447,16440,9770,8443,14790,4456,12856,9498,17361,5481,1273,8984,12747
62,9599,18647,6320,18556,2210,9460,8256,6818,4554,7791,3079,13640,17767
63,16671,15392,18349,6764,6931,2129,13807,6297,5697,11619,16410,15709,1876
64,8831,19031,5440,1799,4340,14552,19417,3383,16636,18280,6960,5317,1647
65,19710,19103,17460,6422,5356,3354,10284,6634,18210,16127,7258,6750,8043
66,10741,16915,7148,10242,16563,7635,3739,7608,5287,2788,11593,6545,15423
67,5065,3173,19647,2862,8394,8654,2618,8945,10941,9234,1400,883,2027
68,6191,3907,583,8045,16658,16449,19552,1169,6087,3093,1602,4682,15621
69,935,10669,18899,12713,6811,19450,2880,869,7599,6213,4591,8752,4463
70,14908,16381,15405,18977,1986,4131,6315,11341,12876,4361,14734,6249,7359
71,8845,7175,15817,9541,10050,2398,19144,7095,7975,7647,18445,19462,17128
72,17312,14850,6059,17030,9496,15561,17124,6088,3568,2231,9946,467,15270
73,4298,4759,10706,11883,547,988,19687,10666,19901,12770,6311,13562,4850
74,8350,14846,12900,15192,17175,10199,9043,2737,9758,2896,17993,5801,1377
75,12880,17034,16745,5158,11519,2038,19950,186,9639,12226,17512,575,17326
76,13518,13450,7814,330,13271,15471,19690,14368,4820,1593,16006,2333,19598
77,9486,19850,18907,8931,1129,18535,19532,4018,6553,19490,6649,6474,16429
78,10611,15683,17724,18963,2410,7517,11263,17160,19370,19822,6950,407,6400
79,2783,4180,9712,12582,14163,13894,6783,13833,1471,11995,10196,12896,16120
80,4684,13571,7493,19644,428,5795,15660,1817,19426,15231,15014,17457,16045
81,10261,3612,6158,874,9628,10469,1712,961,9102,15443,4149,10167,17425
82,6749,2460,3951,890,12577,8524,6624,13819,15152,8571,8547,9428,4081
83,2648,5945,12205,9500,16465,15137,5904,10840,14347,19085,19325,3256,6379
84,17608,14033,14721,19484,17373,14390,10533,7868,17380,19461,15732,5108,18195
85,17259,430,15284,2337,6143,16263,15116,10095,15872,8973,2094,11850,1122
86,13291,5003,11526,17336,4909,3211,15870,8209,19450,17541,6670,17244,17998
87,18317,11425,14775,8184,518,16103,146,11372,7887,12742,6019,18012,14134
88,3789,3297,18400,9459,17344,9214,10836,4130,19371,10636,11799,17904,7956
89,13862,8011,12988,15047,1027,16024,7773,18593,19221,19617,3071,11160,13360
90,3638,8610,14331,14671,12198,12188,13788,3846,10132,3589,4651,1055,15125
91,11196,17439,19023,10206,13292,17115,3821,11293,17419,14392,7433,4641,6215
92,9300,17031,5014,6652,4977,16911,14308,6445,7499,18834,15750,11586,7433
93,5639,15374,4610,13638,18709,9338,1827,697,13659,13220,1626,3621,12574
94,2330,2523,19688,2949,14685,7011,9590,17599,18625,10939,9515,11202,11955
95,14204,8523,1243,11200,12829,14123,9407,2837,1397,16016,5203,13033,9206
96,14138,9591,14784,1306,8769,9330,7240,17029,11734,19370,16721,19237,7287
97,17693,16619,2978,10555,555,17958,8598,2908,6520,11466,2062,14935,2938
98,19395,13883,5213,17357,150,9117,5101,1315,17778,9309,9249,7678,11824
99,4559,16392,2385,2864,1253,3084,9838,11169,4446,752,17034,19072,6178
100,14159,13183,12325,5746,9019,14286,8472,9765,10122,10542,4222,18111,9216
101,14423,1961,19185,3635,17350,18519,11971,2589,17172,2556,16834,5745,13167
102,12985,15398,17849,15906,10995,12308,3445,16577,4512,13136,13718,9141,12263
103,7683,243,17124,14740,19201,8696,3719,5303,5249,1926,3720,7017,4998
104,14206,13500,13459,3550,17033,3232,18557,18081,7503,12949,1976,10022,15566
105,3034,8890,14115,19355,8824,10598,6024,12642,1966,174,11420,11157,8143
106,9721,4715,10069,3248,1920,1923,8137,11900,11643,16419,2003,15497,9920
107,14021,7984,15896,13069,11325,9317,19090,18640,9485,638,18135,14989,8511
108,6572,16762,1124,9813,11694,14606,18449,6113,1561,11085,16796,17843,19345
109,12724,4538,18589,7074,14491,8958,1749,14981,5850,15613,2441,8035,14331
110,9390,12813,15867,17710,15734,2539,12956,708,5367,144,526,8792,152
111,18243,19447,5531,9089,9976,7440,13021,1736,18049,10141,1841,6020,6631
112,6077,2469,17009,18647,1679,15143,7281,2838,13016,15292,3818,1559,426
113,3698,19579,17186,6602,16602,1701,8004,19505,6042,19718,19374,12128,191
114,12549,16212,6293,12653,15752,7812,8513,995,17523,11503,167,18885,6220
115,7331,18903,16122,5007,18556,18649,16688,18605,17283,10995,14562,1887,3205
116,18726,3688,2325,3722,12110,10382,14008,6554,18779,3213,8600,13220,9598
117,11652,9175,9625,18716,11758,18340,8707,17127,19181,13839,1238,2742,13673
118,16048,2293,2763,8558,19508,17126,10332,473,14665,15131,8673,1457,1267
119,7131,15360,9644,875,10565,14559,14317,5847,8606,8139,3492,13596,9635
120,5293,13314,9274,14200,9057,17003,1531,1583,11552,1493,8928,6504,5517
121,5509,16807,4151,9083,421,19318,12838,8649,4667,2033,4830,16234,1596
122,12340,16561,17103,9184,15572,16877,9433,8145,8138,9817,13854,2974,3890
123,17205,13054,9806,9460,13806,12703,17497,10756,12481,19667,9978,12890,5029
124,5172,12035,5596,7936,2279,2117,11570,16266,1231,5419,12599,18971,9105
125,9300,246,6306,10635,17226,13671,13261,7252,8955,8605,19781,16713,3978
126,16835,612,10651,9836,9595,7811,9125,2947,14478,6968,19863,3221,8628
127,5247,12877,15668,1447,14426,10062,8388,5186,18412,14778,19074,18158,18028
128,7393,8458,4290,586,3562,17385,19415,8695,9131,14365,11278,14691,4648
129,12771,4468,11088,7981,19861,18547,15090,18614,14518,1977,2362,15573,5525
130,18449,16268,8259,2007,16576,13156,6881,19116,2148,14806,14026,15920,1210
131,498,15059,4244,17178,11655,618,19888,14770,595,4228,10938,1953,18042
132,2458,19620,19410,13104,9548,13492,15839,361,6844,19886,9313,11475,12551
133,11428,9828,12677,186,402,3735,10015,6259,1149,13373,531,992,4742
134,7470,19307,1327,637,17672,14560,11366,410,19061,6768,10570,17842,19898
135,17297,5989,8275,16242,10287,632,2705,2017,1580,6299,17573,6373,6891
136,2375,17386,15804,4082,5538,6555,5814,16089,6176,4830,12156,6353,12186
137,7700,3932,4908,15797,11622,11199,7645,12900,1169,11912,17412,14722,7222
138,14063,11145,19673,11357,16314,9962,12027,16280,14534,8963,17952,7642,4065
139,17877,15039,9962,18118,10888,4619,1949,15553,4937,785,9979,5562,4267
140,12516,11906,13034,13813,3682,1459,19305,16846,18219,15858,7690,2596,14476
141,13560,4862,16317,5250,19135,19543,16856,5949,16486,3409,7262,13282,8687
142,4252,15353,12326,13004,1458,15247,8827,16395,5550,13546,13337,10085,10033
143,13276,210,17571,843,12915,14828,11902,14119,16614,880,5991,18363,15723
144,18673,18483,3388,1631,7520,11211,17974,2842,10885,12630,485,12923,13147
145,1351,542,11862,13746,7474,13064,13692,2239,2066,882,1937,19696,8546
146,17204,842,10602,3281,10264,19825,1282,4815,6100,19731,14658,5475,18149
147,964,12794,9224,5629,2657,10805,15545,5096,4383,11361,6803,19169,4025
148,1944,10528,8455,12221,16003,19480,13194,13077,370,8984,10171,8939,9016
149,11552,4765,17191,9167,1618,17618,17227,11848,10738,8467,7581,6912,11851
150,9935,5520,6878,1883,19663,14388,7074,5836,1996,18555,9863,3827,5822
151,17427,10276,2227,2439,12859,19310,12858,14979,6841,12754,3363,15572,4342
152,5400,8628,4144,7059,7926,8150,15918,15807,6589,14443,11625,9451,1046
153,2402,3177,12118,15444,15345,19068,14586,14480,9312,15861,7046,18116,3048
154,8766,13711,10952,17964,10896,10646,1816,119,11486,6499,9894,13800,12900
155,17214,17289,13882,2577,175,3614,19464,3851,9900,295,8722,18245,7576
156,16055,7124,13731,16127,9729,17817,7382,14747,10872,13151,19091,18838,12695
157,15402,19346,3295,11013,14105,14872,15645,16819,841,491,10903,7257,2650
158,6976,3809,12889,19541,19548,12122,8041,4233,11748,4051,17904,6993,11476
159,17971,6415,9464,18911,4172,6685,7311,19721,4904,13697,7394,11879,294
160,11093,10798,7390,5038,8966,7823,2874,13330,401,1721,7119,9421,2180
161,9281,19337,9738,16459,19162,13351,6549,4188,1462,11525,2063,19525,1091
162,8476,4204,18563,18547,9827,18030,935,13032,1824,805,11899,14273,6124
163,5741,14442,15876,8139,4233,2821,18258,11021,15761,11010,6458,6892,17812
164,571,14765,5070,18451,2795,925,19164,6970,568,1423,17142,4174,12042
165,14904,14680,7921,6030,7315,12822,17710,14166,12857,16092,10426,1479,2298
166,16735,2239,5060,13052,5443,5526,15643,9662,12221,16757,17541,4651,3878
167,789,8854,18865,13161,10028,2346,13779,8151,8176,4004,5903,4697,12582
168,5482,17332,17420,7023,17050,455,12033,6753,2941,18102,3874,7614,3258
169,17626,5165,8358,3621,13783,19261,6721,11722,2497,15286,16216,10512,412
170,7362,13719,15123,5893,11646,18996,6288,4695,8254,19883,15735,5089,12131
