"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015"
1,8477,12960,8282,5149,2150,4184,17189,13320,17626,16618,13164,6637,7903,6797,796
2,11015,6837,8749,19045,10729,10234,9066,11266,510,14927,15199,12227,17035,18890,14009
3,7440,14555,4135,17628,8917,7578,5077,361,17191,12138,11757,14577,1206,2535,14618
4,11522,3617,1459,12248,16385,5317,17571,19350,16103,7454,12572,16048,15312,13404,3678
5,7238,465,893,17517,14348,12454,5164,5148,13571,5986,2091,5790,4268,9223,774
6,14581,17509,919,18901,16666,17193,15049,15739,13517,865,465,1660,17161,12883,19819
7,1728,19456,9141,2334,9744,8968,8462,12027,19932,14502,6627,18285,18920,10341,11698
8,2138,8859,3103,1540,18778,13001,12804,5346,9659,7105,6057,8238,15088,14978,6046
9,19187,11580,10766,17435,14967,4091,17901,1349,13982,19873,2485,4049,666,2214,5555
10,8141,8891,3883,10850,822,9674,15243,11358,10709,19841,9320,10674,9478,19589,15149
11,1947,19074,1814,19392,17675,8686,13154,12709,12303,14225,9775,1257,2978,15564,17497
12,4828,9374,15906,2718,4370,19213,18238,6274,4402,4621,7347,6326,19506,12803,10240
13,19622,600,121,2643,10479,16260,974,2978,11916,8209,7182,19145,1507,17003,17401
14,1949,4284,18924,2291,4738,17063,15144,19501,4349,2337,13562,980,7714,548,10628
15,7907,11489,6161,12011,19415,13261,13510,19185,18925,12284,821,14568,9613,12848,2683
16,451,4161,8927,8321,19711,469,4292,7046,3016,15061,802,17068,15670,16358,12802
17,11381,745,4751,4619,4657,18804,2486,6776,15517,11245,3005,12572,3351,6435,17136
18,7358,18073,12761,7811,4388,6292,9030,2680,17234,14706,4131,17060,6557,19224,1000
19,13100,9513,4905,15831,19615,3951,2967,695,11646,3966,4061,12246,16645,7284,15477
20,8841,15002,13866,14448,18001,18212,13506,12664,13626,18093,2339,17439,8313,12654,11742
21,17786,5221,7323,12368,6537,19903,4036,9144,14611,12810,5228,16534,17058,19418,17159
22,3080,5577,3002,4014,18254,7395,18643,13047,12651,18691,11714,6046,3076,10902,19222
23,15990,928,17829,6840,4802,10298,9478,10547,11264,12937,13350,2138,12858,12502,13567
