"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013"
1,9019,10089,5884,17481,13098,1663,7016,13097,9830,19583,14330,7294,1278
2,8048,15002,5798,12811,15188,14241,1122,2398,14869,2189,335,19766,8737
3,2680,17459,15330,15950,16152,11466,2060,11630,14791,8359,6222,7730,16752
4,4657,7353,16226,14906,1473,2446,6275,4418,16847,17328,12349,702,13931
5,9732,7107,2988,8394,19242,914,16976,9817,11104,2016,7427,14999,2093
6,712,15995,14768,2459,6373,8012,18056,12512,19514,8032,9971,1060,3090
7,11976,11403,13205,19660,11882,17407,4168,2076,15321,290,11073,6562,7147
8,12140,4846,237,4929,16288,7699,427,9476,19368,2219,3549,4624,3808
9,9458,5700,11223,19410,6440,12446,13674,16824,4312,12374,2518,9438,11593
10,15812,1192,19395,8864,7026,14798,13091,4135,11969,2940,13283,6871,13351
11,15983,15092,1628,933,13506,14446,6263,5879,16509,10952,11627,16240,1236
12,7846,19925,13248,3886,6474,7497,7561,9012,5252,16023,3068,17075,7161
13,7892,19445,6794,3835,6371,19810,11275,5719,7419,7786,5165,17337,10017
14,11059,19266,3821,6012,3997,11921,18810,6105,12220,4363,15026,4850,1840
15,1749,9778,11000,4687,13176,5440,7887,5994,19409,5428,5892,12207,10783
16,1346,3505,3068,12144,11313,19587,2300,672,9615,4658,13511,1649,2920
17,7291,10483,17111,11408,1134,3927,3896,5933,19142,2148,5231,13314,19606
18,1784,2686,14241,7165,9739,13319,16866,2050,13820,7111,722,18167,9989
19,6219,8323,19750,15153,13245,13487,14283,8907,8886,7411,10215,5522,6593
20,4016,7793,9771,18734,8875,7835,7767,13168,180,9424,13259,9285,5799
21,12987,16783,10095,6954,13357,14849,18658,4381,15527,10829,17573,1851,18955
22,7750,18238,3642,16907,17513,15605,16324,19247,15930,11616,13394,4084,1989
23,13575,18885,15717,437,13703,5949,11324,13452,13742,18896,2959,15654,4428
24,316,2411,8393,17744,14999,11775,11427,8758,13393,5169,4868,6783,14424
25,18135,15386,7094,5578,9939,13744,13270,5905,8664,19288,12685,17090,11714
26,12898,9436,8241,8737,13378,7380,12612,16506,6057,10745,2802,8931,4446
27,17488,16541,10446,6069,3237,8262,10893,2993,17930,16599,17244,18784,19888
28,18863,1836,11290,16161,5941,17944,12093,4379,11076,18542,1369,14639,9130
29,3832,4414,13906,2467,17115,8174,822,2527,2188,17512,19867,2332,5385
30,885,8979,15981,16743,15087,10145,11516,4217,5519,17569,17502,12736,12854
31,10769,3039,2372,2084,11678,13944,2950,14463,4573,2642,16379,7117,13298
32,11638,812,4546,1464,7848,2351,2147,642,19333,331,5268,9979,16521
33,9733,9346,5840,10218,14637,13622,16357,16526,14375,11454,9434,5329,5153
34,6139,14473,4378,7050,15974,5086,11751,17083,3913,16010,15336,12409,10001
35,8389,14882,864,17598,2428,15051,14699,10343,602,4523,6693,2427,8424
36,7833,2680,6264,12041,3313,18288,16575,17524,15923,14987,5653,14325,13119
37,16066,12118,10659,9610,8057,11251,16936,14124,3679,18985,7703,3788,238
38,13987,19712,2922,17414,19978,3351,18719,5890,11962,11796,8861,4048,10936
39,7669,3637,3757,17127,5095,8310,15616,11483,19805,3780,8666,15854,4457
