"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018","sim_019"
1,19058,19219,9928,3857,13817,19729,15271,3412,1360,111,14686,14800,3579,14448,135,612,1561,5700,6240
2,6171,12236,14326,7116,12956,1387,11838,1482,1541,14674,1788,9297,8985,18697,12584,6872,12588,2219,1060
3,15057,11031,5835,7327,11726,17582,13417,10022,9840,17228,8604,19535,17314,5167,19557,11336,9897,4994,5368
4,13717,511,2639,12308,5923,3872,1722,15200,6289,3588,14683,18198,9498,2817,10279,7792,4329,12121,16177
5,18900,13659,17935,5085,8210,5313,9045,15485,16868,1109,11642,15090,13028,5297,1448,5792,7299,15040,19848
6,19973,2828,13000,7893,9388,17098,3272,12469,12639,10660,15514,13608,17006,1342,5298,1537,14039,122,10259
7,1777,3716,14732,18777,17579,14381,5784,5514,14064,4627,19462,16008,17941,7477,7922,18781,18562,19044,3724
8,11614,11982,2235,157,2515,7469,15637,10179,14889,17513,17826,614,3651,3111,19825,7351,7268,1610,442
9,1803,13052,1019,18232,15792,3340,13164,6305,5185,12654,9369,8399,2202,19106,9800,2557,12530,8845,1954
10,3399,2698,847,16483,6534,10904,18667,720,12340,8532,11668,14258,19161,16100,11665,3470,15085,6908,1717
11,2699,9718,1787,17753,18787,8918,1069,13951,5594,18741,12645,10708,11198,5542,5686,19101,16298,15008,2942
12,10921,7312,14996,10140,13335,3148,8956,15810,16460,11229,1368,16292,15846,16104,1055,13832,9391,12160,1702
13,5787,16563,19007,10247,4295,4763,2121,1535,14181,15284,4850,4041,16497,7886,5065,16145,9558,1329,9426
14,12793,16790,14158,14464,2517,365,410,3095,15147,14503,3170,5181,7365,913,12736,17076,3372,3630,13346
15,15570,3343,4114,13501,12841,18850,11806,12721,2670,2295,3261,4482,1757,16716,8385,9498,6919,2336,15330
16,1624,12826,18433,7745,8758,2748,14931,18622,15386,5914,8337,3450,11801,4655,7250,17214,7545,15570,11302
17,3392,14035,4627,6715,9758,7935,9085,12139,5862,13967,16945,12369,10229,5360,19242,7914,971,3537,18698
18,6409,6738,1690,890,6749,2704,1476,4363,7351,13211,13538,19598,10675,16759,19403,2468,14955,14015,3943
19,15551,15188,12187,1319,9346,9929,12039,6667,1894,4416,618,3004,18631,6275,7528,12940,15070,3467,7141
20,1885,16872,10019,12389,19569,12117,9289,12761,7042,358,6884,14675,11879,1330,786,2841,17228,3401,5726
21,5177,3646,6520,14578,7580,7504,9046,9876,12876,13088,12965,19256,18928,17487,9723,15247,3091,13184,4973
22,9749,1383,953,18228,18868,7457,13559,5913,14707,8101,2410,12362,14298,3881,10232,18785,8009,13071,8341
23,13060,17652,2565,1790,9643,14709,8271,8732,4502,13778,3699,16952,11064,15001,6171,19679,10507,4486,9290
24,19531,4242,3291,804,770,519,14594,3898,12833,19731,992,134,7075,10960,943,11356,19773,18464,16184
25,16082,9777,13798,5952,1592,14157,5744,2216,7621,4109,14363,18150,10817,6354,9245,8885,10090,872,11775
26,14906,13741,18987,12943,9570,19009,6875,3558,11875,5131,5001,18562,14778,15646,13679,4343,16908,6097,4229
27,15907,8460,3216,1975,14603,13822,11015,16546,13169,17121,4934,17557,19728,4713,10943,5177,18025,9799,18933
28,4435,3115,14087,12021,2282,7110,9475,5754,16746,17269,902,6762,2228,12875,19888,1462,4666,10285,6229
29,2616,4825,6727,114,14683,11083,19854,4108,7616,7087,9934,13010,18601,1313,13846,2153,6912,1983,19731
30,2517,1144,18069,707,15101,5824,16488,6298,4128,2308,18843,3310,13184,3932,533,17825,16682,19958,5424
31,9463,17849,1930,2239,5421,17041,8997,17362,2841,6598,18763,124,4679,14546,2839,9957,15254,3770,9551
32,17018,18383,15494,19098,4487,12406,5308,7298,18005,7603,4702,8424,3493,7493,12624,15996,14479,9811,496
33,11063,15056,5887,7748,3251,19553,14650,18508,13922,13439,13683,4736,4814,1249,8883,5427,11730,19728,1483
34,4084,3793,5137,3933,16900,13788,15969,19340,420,7829,10375,15103,12596,16258,15065,18229,3586,10653,16494
