"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016"
1,9901,9893,2006,15845,8272,108,14048,4127,10972,17801,12027,10855,16178,19000,2762,16542
2,9262,8645,5618,12363,13374,10863,3708,10170,14686,17726,5434,11296,3322,1639,585,1255
3,17007,4257,3225,2422,8662,19406,2359,1066,11261,11178,1966,11551,9163,6513,9230,17739
4,11500,5547,17023,15537,9244,7417,7207,10058,19760,18734,8805,12004,1958,17137,717,18488
5,10417,4047,19107,2241,7148,9680,4926,11804,15305,3516,17740,6979,8073,3590,15768,14617
6,16777,9813,15505,1353,10432,8805,16849,16288,15081,9111,18349,124,19118,10992,14671,8260
7,15093,15806,9323,12056,12920,15472,4752,5801,15787,3600,11552,3981,10555,9376,14140,17193
8,1248,6530,2536,17594,14020,16658,19453,5073,18501,3418,13368,19998,5092,19284,15903,19385
9,19005,18004,10527,11958,16773,4779,16741,3470,280,7495,10013,13702,13503,11484,19367,14216
10,14993,2730,3850,12727,14245,610,3853,9479,6844,12710,11748,6110,11772,14108,10198,11920
11,7146,13251,14151,16139,15731,4272,4460,11702,9818,1273,8171,6004,14601,7463,11278,7550
12,12448,10336,11353,13543,19283,10727,210,12422,19604,2181,3607,11078,6966,6808,9398,18840
13,18384,9194,5015,1067,7966,17738,15088,11764,17814,7674,19979,13049,18088,10657,4817,10521
14,5719,3516,698,15659,17662,3720,1782,10146,9371,18363,11095,6793,4804,14971,9732,15322
15,16903,17582,17995,2238,8241,646,12924,14266,2479,8678,15782,15737,7323,6610,8222,15232
16,14611,17522,17624,16895,13066,7735,3097,11467,7410,12555,19477,13168,10595,15856,13041,17357
17,9290,7398,17768,14922,19160,5373,14663,15823,15630,19675,790,9331,7420,1493,579,16308
18,2942,16255,7586,875,1861,6873,6589,7806,11161,3889,13123,18022,1448,13791,19748,2235
19,4135,1963,9992,19569,4955,5648,16244,11475,8181,2579,8760,2462,18359,9709,12282,13614
20,4758,8976,13953,3265,15475,9778,7348,1134,9990,10184,16057,259,4306,1900,18306,10332
21,2751,15316,5605,11499,15810,17653,12851,9236,9576,16858,12333,16043,18559,13352,1651,17103
22,6653,8574,17855,8947,1024,2616,17857,6614,11996,5643,9362,17686,7018,4400,13577,18454
23,19270,15493,19775,2194,6468,8083,1141,10408,11404,10463,6917,3132,7781,18366,15955,917
24,2974,4038,2431,1924,12081,5307,6949,3889,2547,8056,12042,10945,10505,9344,14453,797
25,7073,19985,7728,11304,13800,13569,16445,330,13561,17592,2569,5902,13235,11800,1802,730
26,1814,2975,13589,18603,6601,4562,5365,11883,7377,16413,15089,1620,7232,1283,10973,2894
27,2964,15133,7198,5657,2230,2110,9126,7575,109,13475,2234,7925,19824,16056,4705,13627
28,19534,8072,12290,15041,13301,12590,10572,3045,4881,11899,13062,16884,8085,10669,12212,7580
29,11869,597,10248,1451,5337,8165,10446,9659,10276,13556,8484,17981,2558,16057,18614,11734
30,1923,11442,11840,19749,7039,12189,7747,11857,6440,3590,17381,12350,9736,6121,13595,541
31,15114,7877,4942,17581,19813,3227,4229,10757,1590,3853,5869,4810,18103,4235,12023,13515
32,17557,1667,12233,9127,8109,18054,16992,6797,19117,5922,5937,14871,3128,15571,16846,18770
33,4288,13736,14264,6249,9347,4395,17559,6222,7665,1635,12521,15020,2021,17478,10573,1425
34,3148,3112,1034,886,15432,7305,14879,8798,8993,2648,19537,6407,2125,16866,18226,2709
35,6958,12004,13897,9016,4051,10952,5700,12024,17867,12693,17977,3937,2523,1200,4529,11159
36,13885,9474,6471,11105,2271,19809,15057,8581,14358,14010,8932,1313,11972,12638,12032,6368
37,18124,7047,6342,2888,19057,1271,9052,6270,10831,17704,3150,2399,13440,13303,14118,3143
38,11566,12728,7222,2021,12810,14411,15627,12080,12293,5182,1466,13271,18018,14595,5133,19141
39,13239,11474,12445,1835,7251,15660,13609,3062,2020,464,11079,2480,1967,743,1855,13209
40,3140,8184,5091,3883,1642,464,3066,9015,181,5924,3341,9228,6252,1555,4068,12334
41,19114,10056,6486,8893,3883,19334,15677,16515,14276,12400,4171,2153,7044,11140,2543,15410
42,10532,12803,6915,6161,6971,3402,11254,18763,7821,11235,16416,5601,7538,18768,7339,5920
43,11998,7596,7194,16426,7481,2621,16689,357,10706,10744,9418,18359,14458,3119,2907,11547
44,13652,1567,12102,17040,7221,4517,925,18824,11487,13714,8961,17098,13779,8887,10860,15638
