"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018","sim_019","sim_020"
1,14562,2849,19051,8835,3643,16723,10072,18954,447,17129,3708,2074,17269,8987,16796,470,17503,17807,14119,19807
2,8659,1895,429,7257,1454,2456,9510,17588,17584,15246,4865,11500,9510,2830,6910,4366,9923,1740,12438,12402
3,13321,7450,7489,15191,2932,8632,2052,15293,18729,7726,8028,13877,12523,8828,19996,15558,7305,8803,19076,16932
4,12288,7954,15158,15798,13149,18714,16329,9007,4776,14325,6840,17122,9489,14854,501,6396,18260,11714,5945,12343
5,8199,5833,13097,6920,12112,15789,7881,9504,2723,4549,5434,2699,893,14989,2702,9728,9658,19621,16390,14225
6,8283,2905,4387,10756,16308,19635,14090,6968,6797,12567,5053,5248,14534,5530,9334,15334,13408,12743,12780,2312
7,10480,8762,10810,14237,11902,5939,17225,11362,3514,17803,14381,16649,5488,12799,9251,19619,15023,3178,7699,18767
8,11065,3103,11315,12110,12942,10322,12545,9474,4775,10650,11662,12947,2942,16594,14189,354,14511,16167,16744,14324
9,19363,405,2334,17113,4689,18787,13591,19907,15209,2899,11428,14422,17523,8624,9106,15999,10409,13701,2459,14164
10,8794,4621,8958,17653,10908,18801,2834,17253,8735,1464,12268,6679,10676,1156,2108,11641,3818,17736,3600,12654
11,13367,14898,14249,5833,2649,8642,2525,15220,523,9236,17728,12449,16313,1171,16095,19778,16295,19175,8119,6283
12,15710,12848,13836,16833,11290,4139,9704,18874,1826,3221,9487,329,13697,10767,1791,15711,15945,11540,2104,16737
13,4010,3376,14731,12738,12273,15480,10258,10623,3145,18744,7332,15920,6734,19365,3884,2160,15217,15789,14343,1128
14,5719,10066,6851,13702,19039,11258,1126,14442,7992,4182,9969,13095,17724,13946,10895,17851,12402,3580,7536,9885
15,18168,1852,11121,17506,17184,7164,3771,4879,6017,8322,15859,18887,10156,1156,1240,3239,14717,15259,18325,14312
16,8076,13965,10987,1101,19477,5910,2301,675,6005,15381,12030,6416,15108,3519,11125,2519,10809,11341,11487,5050
17,10304,7277,16482,364,7997,4630,11491,16378,11704,17939,1893,13305,13659,387,5693,12898,9852,7816,3766,8300
18,7277,12051,9876,17496,9128,18894,15834,4166,1136,6560,14168,6163,9962,15828,9505,946,18536,11088,18334,1029
19,19220,1798,6570,16443,5481,9785,5246,16916,493,2331,9011,4660,2714,167,1496,517,11253,17451,206,6595
20,7033,10489,13126,6876,18459,17387,13836,8031,18520,3164,15934,12557,16925,15656,6570,17973,14864,3448,14150,17738
21,6690,2768,15168,6734,9877,6892,2231,18208,7427,2330,10867,10389,17209,10152,13364,3910,6331,15029,19746,14913
22,8423,6484,871,3760,19960,17975,17826,1658,2346,11464,11816,15477,9987,4810,11480,2076,16819,5393,16565,12942
23,8741,2757,12706,9863,13374,14727,11426,6443,7665,6591,10781,8639,11301,8110,2346,8411,13150,9613,19778,16197
24,6928,8023,15336,9030,12790,3631,13960,4847,4385,14407,19733,7099,10542,11525,8237,4123,10800,962,11472,5399
25,12966,1089,413,17988,9539,15229,3889,19449,14875,11116,628,4334,14596,14219,2444,7753,3346,13810,7192,1644
26,3062,1870,11227,8674,7024,6441,8511,15140,6762,11043,5860,2084,3451,1957,10999,607,16292,9805,11003,8765
27,7535,16457,17137,16563,1823,306,463,8789,7077,14432,12342,11550,13714,9510,19949,7678,11951,13142,16238,19783
28,7134,8285,17938,15774,11797,9471,6209,7647,4554,8663,19988,7209,8053,13753,1258,14876,13832,16029,11764,19674
29,9826,8245,6296,12521,18230,18381,1425,16879,16710,7126,16296,792,17507,1090,16024,12395,6651,15330,16036,18417
30,15776,13065,10418,19990,10297,15276,4297,9470,8937,12158,12071,17095,18389,14965,11585,10103,1848,2855,10763,747
31,5059,10063,9470,7254,412,8838,17176,17696,3755,3614,181,7561,2758,8610,4152,6492,12357,16760,7088,16334
32,11735,16042,13860,2742,18392,4928,1839,15423,607,14600,5985,18313,7052,18411,4157,9633,14102,19377,2912,16740
33,18375,15391,3861,5269,1973,14995,447,3588,2699,6267,13577,17452,19448,7792,4139,19305,9839,11501,17836,18379
34,10103,18339,19024,13708,4475,18707,148,6577,2455,15902,17020,3595,16921,1293,12955,11429,15247,4027,9189,12159
35,19822,16071,17906,14967,9474,9868,8492,4617,7652,19610,11381,16752,14718,4672,14598,16232,19274,17442,10051,108
36,541,481,13248,10967,11606,2697,17512,17533,7559,4857,11687,1740,5475,16398,16258,10966,18815,17652,482,10575
37,5773,4471,7134,16336,9160,4737,15984,7321,3513,6837,6561,16358,12808,10079,19249,19518,12891,2471,4087,9359
38,10922,2497,14545,12059,8698,12938,290,4405,17911,7189,13715,14590,12018,3257,1599,10773,19377,14903,11831,9170
39,10968,14203,10854,2410,12251,9988,3774,18678,726,13011,19987,618,16340,10340,6928,3448,3881,3255,3249,11253
40,3809,16996,2604,12019,17190,16901,12785,6108,2317,8654,6391,16595,7473,6762,17319,906,8000,13882,19198,11941
41,12400,7314,5557,13281,6694,16949,18564,2149,11538,4357,17625,11393,11530,10017,18065,1370,11770,6585,15653,13039
42,19761,16652,18947,3181,11353,6918,17372,16585,12189,2340,14579,331,11682,6085,2646,12956,8701,3944,2020,17776
43,451,1320,13776,3561,18660,6443,8900,15434,19044,16614,4320,14315,1932,7465,341,16838,17484,929,1846,19710
44,1319,3332,7762,7017,11564,9107,1193,13603,16315,6861,9127,12357,11912,18458,10917,7159,599,15053,3943,3129
45,8887,7446,2698,14025,3138,108,2217,7387,9534,18830,10611,19003,7420,16745,8634,12494,19026,18987,10074,153
46,17139,2311,6281,10382,18682,7211,19010,10461,18925,9028,19077,5967,14685,2473,1229,8577,9176,14131,10818,17778
47,19059,18853,6239,17379,6020,19299,12147,9433,19833,11450,466,17476,7968,7032,7072,16156,5556,13845,17569,10130
