"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013"
1,2841,9908,16158,257,4517,5471,6633,14798,9834,10410,19631,13212,4915
2,17974,8725,11643,4067,17146,18439,14792,13614,18052,13301,12951,13592,6844
3,13310,12854,13582,1119,520,18168,2886,14715,7984,5746,7847,6875,11736
4,12797,12889,16154,5869,17421,11839,16125,4471,8609,10158,13807,17574,16482
5,7024,4671,10173,8341,641,10133,19925,14166,16189,8883,9767,9702,13989
6,18557,3038,10964,11188,2874,7139,16595,18265,16202,9002,8864,14931,2695
7,7576,9659,103,15967,14648,219,5399,1642,14052,19654,18619,14853,1363
8,19579,4435,2467,17075,8951,16312,5113,5914,2636,3129,9923,7053,15401
9,16965,7156,9892,13401,18570,15156,8982,4428,2476,18711,18705,19656,5077
10,2212,8024,16546,15407,9073,7463,14495,13568,10433,2615,8244,10309,6379
11,654,2678,10517,19357,10305,16149,2968,12323,171,3432,5764,18236,18053
12,4108,17312,12759,17176,18808,18140,3383,16867,10870,16008,1928,14802,2501
13,330,14827,4059,3535,2742,14616,12542,9489,5738,13371,887,19314,10307
14,8153,17385,11852,131,4324,13560,10310,16812,16686,15339,8188,18808,15073
15,3829,1560,16943,19436,10261,4023,12303,5343,14584,11537,10657,3314,16692
16,18469,4441,10125,17982,19231,1248,7459,14695,2427,6904,16031,8891,18856
17,18164,18844,16862,15040,12568,16738,14524,13307,15649,169,10685,9875,12497
18,10505,5044,15539,5547,19804,2890,5624,2593,3155,18381,8646,17186,5261
19,5186,11536,7094,15604,11375,19578,15219,4710,2493,18060,13324,5817,18055
20,17887,449,2666,14129,15440,6663,11525,11891,6729,8236,2447,18408,8020
21,1329,12009,18968,1317,14433,5137,2477,3647,14982,2427,18307,10698,6320
22,15507,16266,19743,584,2366,511,17501,7784,18984,6928,7882,13326,3235
23,11813,13883,14728,6394,2468,4003,7618,9427,17817,5167,6406,4474,13713
24,15213,6754,14047,2411,17124,8829,8674,207,9951,742,19640,7180,16221
25,13848,14940,9148,6123,11976,2553,837,9063,2524,13097,17090,5747,16313
26,13822,15707,15393,5631,7348,9162,14488,14086,19766,16332,13605,8887,16562
27,223,14309,18328,4819,19187,18135,7807,14296,2939,14456,11712,3356,7751
28,3725,1297,6666,6759,515,12080,6296,11235,17633,3247,13061,9715,18473
29,12385,15537,4168,10354,4489,3497,5373,2231,14878,4862,12802,9056,12575
30,11193,9098,6936,5193,18582,11849,11383,10259,11187,583,12096,17343,10249
31,1927,11374,10473,17983,13806,7858,19432,5249,15198,5247,11212,16117,10967
32,2291,8019,12245,10715,15513,19902,16105,19897,11109,3784,16454,5834,2477
33,14804,2682,1825,4490,9696,5856,10734,5944,125,9539,10626,2313,18407
34,8021,3301,11125,8788,13084,2856,3812,15142,8147,7114,13744,10698,17838
35,4221,19963,16116,18708,17718,13951,8264,12711,2472,13323,10220,16725,5454
36,11239,15576,14786,13655,6737,13628,2390,15760,9514,7338,17323,6264,4085
37,19798,12388,9310,19540,19752,9171,3081,516,8452,17870,8619,10918,1171
38,6053,1120,3389,8915,18077,9908,11824,18234,1787,9573,12082,6127,18512
39,4545,1622,13632,6358,13377,13890,9480,717,1431,18844,6603,6146,15428
40,14558,16588,13236,14964,14581,10648,10326,8909,11595,15646,16721,4200,915
41,19473,10066,4327,11023,5820,552,6208,2609,13502,17047,11777,1461,1345
42,14469,6809,853,8737,12151,3968,11995,712,4542,13871,17377,7399,14931
43,18706,13425,7820,6463,1464,14946,18726,17860,8913,8177,931,16939,14304
44,11173,3958,10942,13745,5156,4622,3256,18229,9690,5869,11138,12488,12453
45,3465,8249,19403,2276,17237,14596,2324,6407,4706,10989,16650,14723,6954
46,15073,15154,14860,2774,636,6612,13796,15968,19327,19323,12099,4662,4637
47,5642,3762,15159,7496,3857,8622,5268,5879,16384,411,586,15665,5259
48,5099,11777,5245,10839,14831,15503,3875,3229,1532,12137,1934,11540,17867
49,8217,3411,19134,1797,4300,3890,1323,10198,16933,9363,10915,9127,13535
50,9562,3365,9961,14750,18648,7421,16319,13818,4445,15152,15410,981,10934
51,13907,5690,10795,9354,2652,16445,5114,15274,13592,13776,17887,2574,18406
52,18541,17060,13798,16791,17316,6286,13872,8576,3393,19177,19671,9185,19241
53,16160,16294,3157,10458,2667,8515,10035,1506,17681,1977,8548,685,5543
54,15173,18899,392,12241,14264,18752,2348,11561,17273,13578,15888,18680,686
55,13371,13713,16545,3621,2789,10716,3032,5760,3910,4624,18133,10607,1305
56,1723,18579,7823,2175,11764,12079,18819,10547,9693,8442,2916,10797,8020
57,5086,6355,253,19451,11240,7335,6053,4250,10491,6848,1647,15714,16101
58,324,14036,1590,2062,16235,7764,3776,5058,6961,5888,8055,18453,12002
59,19289,11391,1232,7571,7352,12308,12648,11639,11236,15685,17223,7933,8498
60,10479,17546,10563,15862,4500,4054,11569,2749,10829,12461,14744,16891,10948
61,7740,5349,6894,16372,16992,15268,209,3699,5035,6400,15084,4704,6142
62,1163,16578,15055,19963,5339,4824,226,8586,14733,1294,15143,16429,2717
63,2456,16170,4864,12658,524,1412,619,5304,18844,5857,10055,14482,13038
64,17796,6876,420,8437,13216,6417,14592,15402,13377,16267,14198,8648,10141
65,14180,7112,4551,11441,12274,12888,14950,4751,437,2046,19745,17170,18416
66,3243,910,17449,13200,7772,9058,8587,15135,19315,16659,2044,4667,14591
67,3810,8101,15343,15157,18338,12217,17991,11397,6424,8329,5761,17163,3262
68,18073,11219,13696,8950,6729,10515,6223,857,13851,14015,7199,4238,19541
69,19330,8153,9308,4840,19263,4932,13318,12950,16272,3629,8211,18917,7722
70,7014,9253,17134,7544,4943,11795,1319,12434,2569,12202,10294,6859,14578
71,18488,17071,4879,8846,1747,6906,6005,896,3218,855,6773,19466,9406
72,2683,15859,1443,19124,10698,11469,13114,10635,7733,198,11766,4498,14642
73,6052,9329,9738,12305,6335,10759,5718,9375,8745,17349,1126,19866,8633
74,16082,15586,5397,5092,8637,18438,1677,13213,4288,5992,16357,17520,7442
75,8931,10903,2514,6753,2817,9870,6670,13190,4008,19737,12445,4635,14327
