"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018"
1,8956,19114,3746,17045,11546,205,19026,5231,13584,12792,18600,14397,11792,16651,11971,16879,19266,10005
2,19153,10111,15584,9355,18949,4449,6441,6986,4750,9512,16434,11969,3085,13329,11573,14646,16147,11137
3,15612,4135,17816,16059,12701,10206,4921,6300,7560,7973,8004,6257,13388,513,3813,12243,12009,16035
4,16430,122,10598,15761,7009,10543,15127,5902,16691,9605,3657,5362,4462,11535,18635,4846,6325,6086
5,4981,7998,11866,19347,1346,14092,2203,1050,7381,17278,16014,11875,14998,7669,16911,18890,3135,807
6,2202,4989,13603,3191,17340,18111,18438,12029,2405,9466,11442,8545,14976,16444,12247,318,13926,14378
7,9197,17208,7283,9096,7672,16259,2895,3609,14848,1125,18291,6829,13741,1018,9695,13883,8360,12816
8,18506,15903,16966,5241,14353,19656,12042,6744,1784,19840,4653,10021,14554,18606,3446,18970,8604,5377
9,15940,9196,6275,3776,19939,17210,2158,19116,9669,18140,5386,11228,14430,10970,9804,181,13575,11227
10,8982,18562,14179,5204,18576,4614,6261,4498,11186,7654,15499,10116,13524,10780,2234,10725,2395,1500
11,1619,16391,19119,5603,15573,12549,17962,3353,1192,11456,11756,13819,8244,16389,2424,2132,9938,9623
12,17018,9551,13839,1833,16079,9133,9869,8804,13117,17220,1062,3509,12382,9798,2620,2368,7836,3024
13,7116,322,9444,19042,7542,5608,5965,3522,6624,7366,157,6336,15409,15635,16812,15264,14194,7395
14,7257,5967,3484,9680,18794,12452,6625,18630,4251,13384,3540,18875,18774,10457,15094,1676,16198,7631
15,8080,9846,7964,15262,8637,11682,5354,5922,11712,11387,14035,10753,3852,16332,6108,6582,11742,7797
16,15866,17962,9906,132,12736,12304,19555,1306,14155,13399,14930,1836,10758,259,3821,3506,9005,16192
17,16223,1768,11090,10620,12548,14245,15013,14006,12252,15582,7008,6256,1600,18110,19167,16108,15385,15295
