"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012"
1,3056,2195,11758,12045,2013,3400,7476,13252,931,11154,3662,9949
2,14958,2053,8229,19175,11488,3733,5192,777,8966,370,10034,7953
3,9478,19483,5024,9380,19757,18480,9690,5590,12996,4615,18563,13051
4,15708,6518,3770,3203,12307,9534,8918,13940,7557,9732,9058,8690
5,19994,15506,10985,16011,4531,6056,1411,5725,2676,10147,2925,16344
6,6379,1983,6246,4858,11991,11809,2898,3123,7417,1044,19921,8578
7,14766,5649,19513,16770,15370,7638,12799,14262,1344,10139,17360,3724
8,1006,17171,380,620,1520,18786,1743,5713,15277,9373,3490,13723
9,7610,102,17777,11985,9310,592,15932,1356,12857,17249,14458,1487
10,1288,17204,19675,9489,13836,18889,13607,12239,15170,11347,16740,19424
11,902,5446,7558,18409,7026,1149,11021,6777,12119,1010,17244,3237
12,7327,14751,9843,13988,12628,11760,11874,14236,2486,6905,6498,10595
13,19091,3176,8350,13471,16643,6754,3883,5479,15113,655,16924,7167
14,5929,9691,1691,13217,7503,14878,300,2933,15590,2492,13738,17519
15,9685,2036,15441,9502,17971,9286,7326,19017,12619,19623,1213,12291
16,18644,17414,6975,8394,19782,4454,8787,10303,16090,914,4892,14679
17,16908,11069,9935,7818,13345,15593,8131,1752,17627,19934,11335,18706
18,18354,14549,12176,11195,4973,14261,5222,8682,12541,6530,15414,9573
19,4642,7081,5679,811,2407,5428,16938,5016,15595,4110,15364,3463
20,7881,15091,9065,4504,11222,387,17829,3895,3464,16526,1272,10874
21,4336,19555,14762,1877,10096,13617,17050,1089,17442,8377,3363,15654
22,2026,7471,15863,18545,19622,2825,13687,11656,17328,12855,9414,9023
23,17093,17515,19930,309,9875,18969,5079,14007,7557,468,17592,951
24,14102,7382,14851,7021,11392,10635,3535,7280,3017,10544,11619,13670
25,11439,6770,10307,790,5507,19469,7250,2365,17287,4513,457,813
26,1986,12968,18820,2145,1735,17239,18522,16079,8965,10520,12693,10895
27,8680,15088,7494,667,2273,4985,13973,7082,16503,16945,8647,5539
28,4439,5692,3053,3151,8659,5438,11072,11040,7692,5184,6081,1768
29,13426,7606,10202,13173,13765,11844,5423,1425,6754,2381,4279,16359
30,14110,19181,4981,6823,1145,9853,8627,13817,5088,19349,17944,4809
31,14656,18055,3383,5534,13878,4257,17422,5928,746,4431,10396,19269
32,18425,5277,19547,4677,2016,7494,5202,1288,4632,15160,2596,19055
33,5279,6035,18305,10355,6559,6773,16310,3872,16110,3828,9506,17931
34,16494,16392,18840,7481,18803,1653,7909,12695,5089,4146,5657,19888
35,19130,11754,1687,19141,8198,17494,16305,8876,17969,2034,11648,5142
36,6830,1150,17288,12876,6719,16035,13251,2018,11782,12503,17223,332
37,4123,15930,14371,13408,19601,10969,4176,15565,4277,17752,4600,12146
38,2641,1294,18294,14881,12373,2201,9103,755,13977,9836,9269,11722
39,13995,19428,7117,17922,18688,15938,2572,19687,8169,12599,1466,15523
