"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018","sim_019"
1,15733,8593,13930,3953,2812,1280,14839,12352,13468,16443,9499,8987,9817,12997,9497,19379,7578,15014,19986
2,19895,13397,9381,6273,11028,18745,8775,13427,11190,7549,12904,17690,8484,3830,1959,17285,14933,9175,6563
3,8522,11227,10544,14372,11184,11543,8792,10564,4291,3384,13385,2019,17580,14087,6015,9068,13877,5752,606
4,5992,8282,5395,238,104,17968,12564,19764,4728,16571,7420,15449,14337,1157,3990,7963,12224,3724,8826
5,5776,14277,7984,16531,10754,17260,5007,7928,18045,4050,3268,6309,11240,4225,539,5333,17197,1198,3013
6,7105,2165,14117,6154,6707,11730,3487,9187,16872,2019,19653,5478,10285,3301,13111,2506,8696,258,16102
7,3641,8054,15596,11252,19303,14259,18622,11202,18240,7028,4779,7838,11252,19697,3490,9874,11426,7002,14818
8,9256,8046,5905,14677,1405,14728,10751,17622,9381,544,17263,5818,533,7631,16789,143,6628,7802,8086
9,6377,2221,330,4785,14632,5849,17549,5440,18528,455,14396,3645,660,8257,4882,18096,12739,9623,13775
10,13194,15442,1979,9364,13677,16359,8694,10296,10974,1217,11090,14504,6991,19471,4047,3210,17669,11920,15665
11,2578,19254,7132,843,18980,15383,2113,14984,4169,4582,15871,5142,312,7043,16945,14329,9290,9611,4882
12,14783,5389,5853,5987,9101,3463,9704,16962,8495,1494,16282,1661,3175,16701,14942,18063,3078,10773,18933
13,11559,2652,9333,18852,4791,6985,5897,8326,12684,9213,17042,7111,7300,5864,12997,5729,10575,19219,4684
14,12416,9088,16641,12346,18667,3747,8594,15772,19760,2266,6709,13202,11434,4570,12593,16344,4148,12491,9203
15,12686,12667,1721,6649,7690,8558,11987,16522,19947,5481,8554,4964,9528,12025,10200,17881,7141,17781,7623
16,360,16711,14007,14948,2743,9726,10540,17453,12969,12811,16250,16731,13023,15982,9932,4754,13887,10619,6507
17,19763,15063,4993,1573,15223,18080,13488,15598,4819,1326,13806,18158,13230,11709,12525,16180,4895,16014,18467
18,14166,12484,7770,5731,14463,3004,5556,2181,5949,11238,19592,8585,568,13711,5878,7440,13970,13450,4699
19,2775,3372,16615,13952,3856,15988,12412,6811,7362,3589,16454,15200,12276,109,12232,9969,9247,16349,19725
20,13643,9873,19523,1947,7271,8709,8670,683,10034,12482,18617,10668,9445,3468,9420,7232,9449,8326,1544
21,3720,9456,866,408,11228,16677,18125,4242,5142,13908,9403,18786,4830,15320,18186,11266,12741,15446,18831
22,19073,10432,13215,13364,4438,18323,17605,4049,3081,15376,17754,15245,14494,2048,15346,12837,9837,11284,17513
23,6626,10065,2891,16900,16561,6878,14478,3756,8882,1620,16458,6969,18540,1012,3583,14715,18635,6660,1887
24,3993,14560,1742,11558,6656,2407,7251,17829,7951,3540,2914,18081,18366,17732,10265,13874,19491,10557,18199
25,14116,16107,7208,15100,15334,8142,13525,17988,5303,2799,5594,1638,6240,15911,5650,10268,16615,5938,6582
26,17134,15368,2418,681,5391,2777,1055,7632,11655,18346,452,1568,1002,5503,2448,3418,11172,7462,800
27,19183,16737,19211,9809,18266,10007,6464,11181,19904,5498,10473,3948,6544,899,1741,17029,4979,18828,7106
28,1087,15331,696,919,7022,16294,16924,10202,7893,7195,3638,11206,1706,16046,2915,12764,18507,12224,2970
29,6298,14340,16491,2734,14875,10240,4142,12078,7351,13985,4266,3936,10136,9092,13007,17146,4881,12886,10145
30,15687,1247,2798,4574,6775,5495,2980,14260,16722,3023,10648,19780,16405,1099,2687,4038,2172,9888,620
31,3592,13663,8533,14021,19243,3477,9739,3804,4435,10327,16980,14633,14352,713,2897,18393,15837,17623,17379
32,9580,3810,15273,11726,14653,18442,16206,7958,19002,16379,5788,5923,319,6301,17071,5603,17855,16919,16285
33,4759,10632,17249,7054,9774,16399,2075,3662,4767,5663,19292,13647,2753,3189,16723,14899,13844,4854,528
34,9155,4225,172,4718,13606,13607,19316,8442,6293,4296,15872,18280,4007,17215,18089,8100,13003,12795,5936
35,11743,18513,12394,9237,18969,17238,8207,9178,12886,2231,18565,16524,15488,18452,15858,10092,18819,6240,13125
36,14183,11334,1970,10874,16273,10358,3211,11122,6392,3539,7520,219,3419,5506,10709,9895,7855,8824,15161
37,17262,712,14246,14931,5335,10359,7107,9818,10356,4185,3395,13203,4563,13032,11691,4152,17056,12839,6894
38,19558,13112,19008,6114,3687,8718,7687,435,7600,19331,5742,2869,13703,7797,10642,2344,8910,8292,17911
39,3122,19999,15864,19153,3198,11996,15044,5808,5692,17659,10473,15908,14061,4064,17200,13379,5256,14844,18329
40,14704,8655,4304,16912,1345,14589,18155,6595,6126,7303,14151,3145,19409,18901,11384,19286,16864,7758,6133
41,6381,2621,6165,14154,15712,17671,3266,11447,2033,12703,12862,16292,1958,14510,8763,11373,15302,16787,8323
42,2887,4153,10533,9038,19167,6471,8265,12577,2363,11842,3389,12792,4694,11964,4385,16920,16962,3566,11881
43,10699,5963,16945,7718,11745,1004,9202,7390,14035,12487,9407,4770,2861,16516,9339,6688,384,19291,8507
44,13192,19483,192,1142,15031,8076,12476,15012,2232,6934,2443,3767,11780,15485,7526,5196,7626,8142,7574
45,7083,7424,12856,15641,891,2497,16127,13569,7618,704,17133,9415,4200,19780,6282,8898,5025,545,7577
46,14007,7998,1909,5329,8044,12315,5794,15231,8850,3829,8988,13947,19819,3441,11605,5592,861,9061,18305
47,9440,15761,6225,18335,17766,11536,2438,17955,293,8660,722,11123,9854,10727,3633,13990,16390,2784,13408
48,2730,16635,16196,3205,1889,7469,16664,15443,1653,13930,18199,17023,13979,17809,13668,1576,19162,13807,16249
49,11460,6378,18146,2475,4145,9211,7120,7769,18394,2274,4247,10792,12197,139,16043,6125,18767,7630,13782
50,7258,7287,12368,13928,1904,8222,14894,17063,1988,16205,4705,7367,1565,3147,8574,3333,6358,9717,19214
51,3885,12528,805,19867,1238,5292,15433,10868,7367,4623,17557,5662,3021,14942,1396,13331,14098,1291,16682
