"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016"
1,295,10828,1209,11583,17630,8986,13249,1727,10618,1692,14365,964,4922,9574,8226,4022
2,17819,18806,10149,10227,775,13784,15507,9018,7906,11077,12944,12401,18427,19112,14351,11070
3,383,4048,2352,1731,13400,8265,10146,16487,13911,11897,6441,4231,5840,8844,4769,10671
4,3646,14376,15352,17695,16728,6488,10127,12990,15769,14171,13218,17465,10515,9591,15429,179
5,13940,15343,18324,5606,3763,19505,15059,1322,9321,12715,19725,11966,12548,9045,6375,10967
6,4700,7427,15055,3202,10158,1690,3889,1255,8976,17129,8660,2831,19630,2783,2023,13090
7,5159,3175,9335,12346,16236,10830,13771,10951,8957,12470,11479,3348,17974,16287,9061,8004
8,7249,8327,18734,782,17443,3498,15249,5557,19100,4991,4098,18679,14839,11397,8025,1172
9,654,9548,7272,13037,17730,2923,19309,10557,9462,3474,9317,18093,9181,15150,6004,17478
10,17675,6147,3302,10749,11839,14527,698,5402,3661,16413,9202,3929,17893,4578,9188,17006
11,6612,12790,15123,14391,1302,2512,5724,4305,8316,10947,8767,15546,12183,15143,4888,12382
12,4361,5028,13025,6210,13877,15555,18101,3459,13336,16045,19357,9195,18132,17833,16648,7637
13,11812,15671,8773,5497,8905,2970,2874,4097,8590,12347,18084,14866,2049,1704,16591,12571
14,7722,179,8522,11324,2890,6641,14678,10067,15188,18827,3039,4946,8249,661,4178,18726
15,14321,10617,7221,14077,15348,18870,10361,892,16900,17165,5496,10370,4812,1569,17623,14467
16,4280,19813,15209,5400,10491,10921,9927,16153,6338,6864,11596,10320,4207,9760,17865,10499
17,2903,5964,8834,17315,5958,15895,11420,6212,14569,10123,16643,6055,7353,16999,1683,14932
18,15143,15385,17097,4854,8907,6087,12442,18206,1780,5343,12812,3334,18333,19383,5193,16989
19,14447,17870,2184,4031,5430,1417,7098,11555,8665,587,14734,17587,16600,1677,15184,10640
20,350,12127,16231,14423,9151,1919,827,13565,10072,4665,17011,2308,4304,9159,2910,19504
21,16804,8867,8111,13797,18706,17846,9489,8850,11255,9703,12092,6696,7557,3079,9259,11886
22,12618,15115,12447,6146,2910,2363,17591,8766,5363,7180,7393,19817,18138,15643,4916,15930
23,16660,18731,649,4811,8336,936,6364,10321,15366,1392,13386,7776,298,8546,17140,4265
24,13390,12925,16737,2748,9477,4837,15985,3108,19882,18533,14207,13615,7826,1895,3080,16993
25,11401,16421,843,18726,16990,12082,5145,7783,11186,11876,9613,9851,13757,4882,13138,9188
26,7512,12488,19922,1306,8256,14224,17744,12396,12527,3410,19490,7871,18583,15074,10259,14564
27,17690,14251,12003,15794,14316,2910,10771,9290,15020,4383,13342,18416,3276,1261,1764,11954
28,10450,17042,6198,3030,4362,2076,6427,18304,18659,18944,2186,6216,2860,494,13650,3773
29,3017,13873,10232,10849,6550,6676,10766,16763,1949,1300,1766,7842,15429,13347,11438,17979
30,3980,407,15890,18494,19375,2779,10984,11053,6579,17895,11430,9159,6043,2788,2083,13283
31,10641,2806,244,18165,12360,7755,4227,3171,17924,12750,933,19067,1904,10005,7070,10105
32,11311,6736,14608,10629,7678,12822,12447,4302,10714,8369,7819,18645,3362,17378,3198,11732
33,10172,1234,12946,9270,1153,12946,2011,15447,7487,14782,16277,11730,14693,2410,2247,886
34,12316,19719,10782,8260,7986,8820,3999,8271,14812,4774,3868,18309,1846,9664,4192,16740
35,1440,2602,16588,2944,13641,13935,3963,3061,17571,14618,15581,4922,10318,11481,12203,16729
36,17208,6652,9691,15917,4558,10013,14140,12116,15400,18952,8510,14645,16071,3820,10386,8397
37,15098,13617,8859,10447,14773,17715,16903,1396,15000,1747,15405,6591,12109,12921,14982,12074
38,13832,7968,16647,4328,3741,1713,2810,12458,7006,8777,13984,11227,12740,8835,17977,12778
39,3840,15620,4040,7213,13666,15047,2574,14092,16865,4384,18881,19026,8521,3178,12369,12458
40,11898,2519,18674,2997,11702,16543,7670,12385,7638,2678,16865,4213,9817,13885,2133,18965
41,7891,5072,4620,4645,3504,11858,17439,11444,6848,1899,3886,7446,16714,14254,14915,17653
42,13929,3514,5000,3552,17028,3220,1313,17184,5409,17904,1914,19604,6428,4153,16169,2840
43,19710,14078,664,17635,10292,5387,5759,9032,12537,3206,14077,15029,17999,11361,5899,13968
44,5730,15562,1603,17224,9550,18297,4891,4577,18999,800,2735,6410,16692,19401,12344,19391
45,19755,2109,6116,14654,7987,13713,5587,501,13204,10505,17912,18706,9798,8564,15841,2526
46,9562,11058,6769,6716,3908,2068,19369,7526,14523,6116,10949,8895,1791,17462,19170,1904
47,12627,16002,3056,17403,5803,6871,327,18747,4042,448,2387,15007,14639,9753,10770,9453
48,8102,4606,7517,2428,1913,18085,12722,12771,10341,10071,17628,6208,2035,3047,18812,9695
49,1740,13823,5521,4468,8081,6973,18143,11076,10046,17954,3214,11103,3977,2319,14320,817
50,7328,1389,14584,8054,2004,9998,3624,2962,13507,13765,1711,975,8339,14830,1330,4742
51,5340,10986,6622,1008,4192,6882,17238,2369,133,16901,8415,1035,15876,5462,6055,8496
52,1687,16107,15115,2877,14783,7569,11088,6187,18853,18776,8741,16419,15773,19827,12763,8873
53,9157,12684,574,3186,13933,5689,12007,9114,18150,6814,1586,16564,16123,8833,6243,4304
54,6660,13039,11491,17294,12447,18961,19163,18295,18233,11621,18671,8412,6284,13416,13995,1537
55,10162,9884,8306,15188,14830,15845,8772,2588,12168,9546,2133,3141,16022,3792,1592,18506
56,12230,16274,16626,15689,6932,19798,17775,9854,6278,4292,14472,8915,16235,19059,4356,12788
57,6150,3017,6284,567,15102,19627,19073,18134,15647,8211,6384,11369,2201,6435,9148,12526
58,3956,3198,14637,8703,15373,2324,17547,9679,11479,955,3876,8149,13798,15446,15220,19867
59,17066,7554,14246,4727,4284,5911,8757,13981,6390,17785,12233,2927,5160,8534,12639,8009
