S1   S2   S3   S4   S5   S6   S7   S8   S9
50-2-0-0   286-0-0-0   595-0-0-0   39-0-0-0   870-0-0-0   59-3-0-0   1199-0-0-0   200-0-0-0   2505-0-0-0
47-0-0-0   195-0-0-0   653-0-0-0   40-0-0-2   560-0-0-0   78-0-0-0   930-0-0-0   190-0-0-0   3836-0-0-0
0-2-0-51   0-0-0-248   0-0-0-757   0-0-0-41   0-0-0-578   0-0-0-81   0-0-0-1001   0-0-0-237   0-0-0-5166
0-0-0-54   0-12-0-326   0-0-0-887   0-2-0-37   0-0-0-618   0-0-0-61   0-43-0-1208   0-0-0-297   0-0-0-4556
0-62-0-0   0-598-0-0   0-729-0-0   2-55-0-0   0-1111-0-0   0-35-0-0   0-2112-0-0   0-408-0-0   0-2032-0-0
0-0-0-61   0-0-0-618   0-0-0-752   0-0-0-59   0-0-0-1143   0-2-0-32   0-0-0-2154   0-0-0-421   0-0-0-2093
0-0-0-64   0-0-0-638   0-0-0-773   0-2-0-60   0-0-0-1189   0-0-0-37   0-0-0-2262   0-0-0-459   0-0-0-2259
0-0-0-66   0-0-0-864   0-0-0-1064   0-0-0-83   0-0-0-1236   0-0-2-59   0-0-0-2638   0-0-0-673   0-0-0-8835
0-4-65-0   0-0-894-0   0-0-1078-0   0-0-83-0   0-0-1329-0   0-0-61-0   0-0-2720-0   0-0-712-0   0-0-9010-0
0-0-80-0   0-0-979-0   100-0-1215-0   0-0-90-0   0-0-1532-0   3-0-74-0   0-0-2969-0   34-0-776-0   1121-0-9869-0
97-3-0-0   937-0-0-0   875-56-0-0   79-0-0-0   1697-0-0-0   69-10-0-0   2703-0-0-0   588-22-0-0   3715-1602-0-0
0-0-0-99   0-0-0-927   0-57-0-874   0-0-0-77   0-0-0-1671   0-10-0-72   0-0-0-2673   0-20-0-580   0-1572-0-3738
2-56-0-0   0-596-0-0   0-880-0-0   0-67-0-0   0-972-0-0   0-77-0-0   0-1631-0-0   0-516-0-0   0-5373-0-0
0-71-0-0   0-586-0-0   0-658-0-0   0-35-0-2   0-1065-0-0   0-72-0-0   0-1778-0-0   0-440-0-0   0-3329-0-0
0-0-61-0   0-0-484-0   0-0-548-0   0-0-40-0   0-0-916-0   2-0-50-0   0-0-1407-0   0-0-325-0   0-0-2072-0
0-0-90-0   0-0-701-0   0-0-989-0   0-0-47-0   0-0-1245-0   0-0-103-4   0-0-2032-0   0-0-602-0   0-0-8749-0
0-0-0-137   0-0-0-1434   0-0-0-2532   0-4-0-118   0-0-0-2092   0-0-0-299   0-0-0-4297   0-0-0-1412   0-0-0-21065
6-90-0-0   0-634-0-0   0-1356-0-0   0-77-0-0   0-1313-0-0   0-117-0-0   0-2225-0-0   0-515-0-0   0-6066-0-0
0-88-0-0   0-599-0-0   0-1309-0-0   0-78-0-0   0-1286-0-0   0-111-0-7   0-2167-0-0   0-500-0-0   0-5730-0-0
39-0-0-0   321-0-0-0   686-0-0-0   50-0-2-0   716-0-27-0   68-0-0-0   890-0-0-0   268-0-0-0   2703-0-0-0
56-0-0-0   399-0-0-0   915-0-0-0   59-2-0-0   811-0-0-0   111-0-0-0   1186-0-0-0   361-0-0-0   4917-0-0-0
0-0-0-88   0-0-0-508   0-0-0-1260   0-0-0-43   0-0-0-1113   0-0-0-159   0-0-0-2037   0-0-0-512   0-0-0-7980
0-0-103-0   0-0-771-0   0-0-1298-0   0-0-63-0   0-0-1488-0   0-0-100-0   0-0-2651-0   0-0-716-0   0-0-7551-0
0-0-106-0   0-0-763-0   0-0-1275-0   2-0-62-0   0-0-1510-0   0-0-94-0   0-0-2615-0   0-0-732-0   0-0-7286-0
3-91-0-0   0-683-0-0   0-1154-0-0   0-69-0-0   0-1332-0-0   0-76-0-0   0-2337-0-0   0-671-0-0   0-6012-0-0
0-0-1-27   0-0-0-125   0-0-0-189   0-0-0-21   0-0-0-295   0-0-0-16   0-0-0-381   0-0-0-90   0-0-0-633
24-0-0-1   124-0-0-0   177-0-0-0   20-0-0-0   270-0-0-0   16-0-0-0   364-0-0-0   92-0-0-0   628-0-0-0
25-0-1-0   130-0-0-0   188-0-0-0   24-0-0-0   283-0-9-0   17-0-0-0   399-0-0-0   91-0-0-0   662-0-48-0
0-0-1-24   0-0-0-153   0-0-0-222   0-0-0-25   0-0-0-330   0-0-0-20   0-0-0-479   0-0-0-103   0-0-0-900
1-27-0-0   0-160-0-0   0-248-0-0   0-25-0-0   0-383-0-0   0-21-0-0   0-549-0-0   0-114-0-0   0-1049-0-0
0-0-0-29   0-0-0-172   0-0-0-254   0-0-0-23   0-0-0-369   0-0-1-25   0-0-0-561   0-0-0-108   0-0-0-2017
49-0-0-0   331-0-0-0   958-0-0-0   37-0-0-0   686-0-0-0   138-0-0-0   1517-0-0-0   436-0-0-0   12191-391-0-0
0-0-0-73   0-0-0-540   0-0-0-1800   0-2-0-49   0-0-0-1000   0-0-0-243   0-0-0-2458   0-0-0-711   0-0-0-21934
5-0-125-0   0-0-851-0   0-0-2612-0   0-0-90-0   0-0-1707-0   0-0-274-0   0-0-3989-0   0-0-1428-0   954-0-26389-0
0-0-78-0   0-0-393-0   0-0-1169-0   0-0-48-0   0-0-1230-0   0-0-66-0   0-0-2284-0   0-0-538-0   0-0-6380-0
0-0-0-32   0-0-0-159   0-0-0-334   0-0-0-32   0-0-0-570   0-0-1-11   0-0-0-815   0-0-0-97   0-0-0-963
35-0-0-0   154-0-6-0   233-0-0-0   29-0-1-0   543-0-0-0   10-0-0-0   752-0-0-0   84-0-0-0   666-0-0-0
0-62-0-0   0-327-0-0   0-486-0-0   0-39-0-2   0-995-0-0   0-25-0-0   0-1467-0-0   0-231-0-0   0-3032-0-0
5-55-0-0   0-379-0-0   0-679-0-0   0-50-0-0   0-1053-0-0   0-42-0-0   0-1628-0-0   0-316-0-0   0-5681-0-0
0-42-0-0   0-379-0-0   0-717-0-0   0-46-0-0   0-961-0-0   0-65-0-0   0-1507-0-0   0-317-0-0   0-4669-0-334
56-0-0-0   293-0-0-0   622-0-0-0   32-1-0-0   896-0-0-0   60-0-0-0   1352-0-0-0   252-0-0-0   3088-0-0-0
0-0-0-59   0-0-0-308   0-0-0-636   0-0-1-31   0-0-0-905   0-0-0-68   0-0-0-1436   0-0-0-274   0-0-0-3300
0-63-0-2   0-429-0-0   0-794-0-0   0-37-0-0   0-1155-0-0   0-89-0-0   0-1875-0-0   0-375-0-0   0-4708-0-0
0-0-0-65   0-0-0-431   0-0-0-812   0-0-0-40   0-0-0-1168   0-3-0-89   0-0-0-1913   0-0-0-386   0-0-0-4808
0-4-0-63   0-0-0-495   0-0-0-918   0-0-0-45   0-0-0-1458   0-0-0-96   0-0-0-2328   0-0-0-452   0-0-0-6411
0-91-0-0   0-665-0-0   0-1047-0-0   0-58-0-0   0-1770-0-65   0-100-0-0   0-2898-0-0   0-562-0-0   0-7071-0-277
91-0-0-0   908-0-0-0   1280-0-0-0   71-0-0-0   1460-0-0-0   148-0-0-0   2587-0-0-0   853-0-0-0   12242-0-430-0
0-163-0-0   0-1181-0-0   0-1691-0-0   0-89-0-0   0-2024-0-68   0-201-0-0   0-3358-0-125   0-1096-0-0   0-18396-0-0
0-45-0-0   0-324-0-0   0-636-0-0   0-37-0-0   0-766-0-0   0-45-0-2   0-924-0-0   0-262-0-0   0-1183-0-0
2-0-0-30   0-0-0-294   0-0-0-546   0-0-0-40   0-0-0-564   0-0-0-32   0-0-0-708   0-0-0-226   0-0-0-591
21-0-0-0   332-0-0-0   496-0-0-0   36-0-0-0   577-0-0-0   29-1-0-0   741-0-0-0   219-0-0-0   592-0-0-0
0-60-0-0   0-420-0-0   0-717-0-0   0-49-2-0   0-861-0-0   0-63-0-0   0-1192-0-0   0-304-0-0   0-1961-0-0
2-53-0-0   0-445-0-0   0-725-0-0   0-50-0-0   0-917-0-0   0-61-0-0   0-1170-0-0   0-312-0-0   0-2002-0-0
0-56-0-2   0-396-0-0   0-674-0-0   0-43-0-0   0-828-0-0   0-62-0-0   0-1115-0-0   0-274-0-0   0-1650-0-0
0-47-0-2   0-368-0-0   0-589-0-0   0-31-0-0   0-641-0-0   0-40-0-0   0-1059-0-0   0-275-0-0   0-1542-0-0
0-0-0-47   0-0-0-324   0-0-0-522   0-0-0-32   0-0-0-622   0-1-0-30   0-0-0-1005   0-0-0-248   0-0-0-1028
0-0-0-47   0-0-0-368   0-0-0-530   0-1-0-29   0-0-0-700   0-0-0-29   0-0-0-1099   0-0-0-256   0-0-0-883
0-47-0-0   0-366-0-0   0-533-0-0   1-28-0-0   0-701-0-0   0-29-0-0   0-1101-0-0   0-255-0-0   0-881-0-0
46-0-0-0   398-0-0-0   549-0-0-0   27-0-0-1   765-0-0-0   31-0-0-0   1176-0-0-0   261-0-0-0   947-0-0-0
0-0-0-48   0-0-0-407   0-0-0-552   0-1-0-29   0-0-0-767   0-0-0-30   0-0-0-1197   0-0-0-260   0-0-0-951
0-0-51-0   0-0-429-0   0-0-566-0   0-0-31-0   0-0-810-0   0-0-27-1   0-0-1260-0   0-0-272-0   0-0-1008-0
45-0-0-0   451-0-0-0   609-0-0-0   29-0-0-1   889-0-0-0   27-0-0-0   1355-0-0-0   270-0-0-0   1193-0-0-0
0-33-0-2   0-425-0-0   0-544-0-0   0-35-0-0   0-758-0-40   0-26-0-2   0-1150-0-39   0-231-0-0   0-1187-0-0
0-0-36-2   0-0-428-0   0-0-547-0   0-0-35-0   0-0-765-42   0-0-26-2   0-0-1134-41   0-0-236-0   0-0-1190-0
0-1-30-0   0-0-370-0   0-0-518-0   0-0-33-0   0-0-666-0   0-0-29-0   0-0-996-0   0-0-224-0   0-0-1125-0
27-0-0-0   296-0-0-0   447-0-0-0   27-0-0-0   531-0-0-0   23-0-0-1   784-0-0-0   211-0-0-0   840-0-0-0
36-0-0-0   355-0-0-0   585-0-0-0   39-0-0-0   639-0-0-0   30-0-0-0   962-0-0-0   256-0-0-0   1247-0-0-0
33-0-0-0   342-0-0-0   586-0-0-0   35-0-0-0   606-0-0-0   31-1-0-0   946-0-0-0   250-0-0-0   1243-0-0-0
35-0-0-0   339-0-0-0   598-0-0-0   34-0-0-0   576-0-0-0   31-0-0-1   934-0-0-0   237-0-0-0   1203-0-0-0
1-0-29-0   0-0-341-0   0-0-609-0   0-0-32-0   0-0-555-0   0-0-35-0   0-0-896-0   0-0-227-0   0-0-1238-0
0-34-0-0   0-417-0-0   0-687-0-0   0-43-0-0   0-667-0-0   1-32-0-0   0-1135-0-0   0-263-0-0   0-1784-0-0
0-1-0-29   0-0-0-433   0-0-0-656   0-0-0-38   0-0-0-751   0-0-0-35   0-0-0-1216   0-0-0-298   0-0-0-1847
0-0-21-0   0-0-295-0   0-0-510-0   0-0-27-1   0-0-623-0   0-0-26-0   0-0-907-0   0-0-203-0   0-0-1101-0
0-0-0-24   0-0-0-271   0-0-0-503   0-0-0-30   0-0-0-560   1-0-0-23   0-0-0-809   0-0-0-182   0-0-0-943
24-0-0-0   269-0-0-0   512-0-0-0   30-0-0-0   562-0-0-0   23-0-0-1   807-0-0-0   181-0-0-0   943-0-0-0
0-0-0-19   0-0-0-251   0-0-0-476   0-1-0-24   0-0-0-493   0-0-0-17   0-0-0-644   0-0-0-158   0-0-0-784
18-0-1-0   205-0-0-0   407-0-0-0   23-0-0-0   452-0-0-0   15-0-0-0   518-0-0-0   143-0-0-0   673-0-0-0
0-0-0-18   0-0-0-191   0-0-0-390   1-0-0-22   0-0-0-395   0-0-0-12   0-0-0-423   0-0-0-128   0-0-0-570
0-15-0-1   0-194-0-0   0-354-0-0   0-28-0-0   0-373-0-0   0-9-0-0   0-437-0-0   0-121-0-0   0-538-0-0
16-0-0-1   224-0-0-0   414-0-0-0   30-0-0-0   447-0-0-0   12-0-0-0   487-0-0-0   143-0-0-0   679-0-0-0
18-0-1-0   241-0-0-0   431-0-0-0   30-0-0-0   481-0-0-0   14-0-0-0   516-0-0-0   153-0-0-0   774-0-0-0
0-0-0-27   0-0-0-288   0-0-0-504   0-1-0-31   0-0-0-566   0-0-0-20   0-0-0-659   0-0-0-184   0-0-0-1008
0-0-0-35   0-0-0-250   0-0-0-457   0-0-0-26   0-0-0-513   0-1-0-21   0-0-0-610   0-0-0-161   0-0-0-936
0-30-0-0   0-238-0-0   0-435-0-0   0-22-0-0   0-479-0-0   0-16-0-2   0-565-0-0   0-153-0-0   0-867-0-0
