"position","G_2035BALd7_S1-cons","G_2073BALd7_S0-cons","G_2078BALd7_S0-cons","G_2081BALd7_S4-cons","G_7960BALd7_S0-cons","G_7970BALd7_S7-cons","G_7971BALd7_S0-cons","G_7992BALd7_S0-cons","G_BRSVSweden620p4_S0-cons"
1,49,257,431,32,798,36,1091,164,1729
2,51,260,434,33,804,35,1100,164,1760
3,51,257,436,33,805,37,1106,165,1761
4,50,261,438,33,807,37,1107,167,1779
5,50,262,441,33,812,37,1113,165,1806
6,52,271,459,34,830,39,1137,173,1846
7,53,273,464,34,833,39,1136,173,1885
8,53,273,459,32,836,39,1137,171,1869
9,53,273,464,33,838,39,1141,171,1886
10,53,273,465,34,840,39,1148,172,1931
11,54,276,463,35,838,41,1154,172,1947
12,54,279,463,35,839,41,1159,169,1960
13,54,279,464,35,839,44,1159,170,1958
14,54,280,476,35,846,43,1157,173,1969
15,54,281,479,35,844,44,1158,175,1987
16,55,281,496,36,867,43,1189,177,2010
17,55,282,500,37,871,44,1192,177,2026
18,55,280,499,36,871,41,1184,172,2025
19,55,284,503,37,875,45,1192,179,2033
20,55,284,506,37,878,45,1189,184,2034
21,55,284,505,37,881,46,1185,182,2035
22,55,284,512,37,884,45,1193,185,2064
23,56,288,518,37,886,46,1208,185,2081
24,56,287,520,37,885,47,1211,186,2083
25,57,288,518,37,890,47,1216,185,2078
26,56,285,517,37,871,47,1191,182,2068
27,56,288,522,37,881,47,1194,183,2081
28,56,296,535,39,904,49,1219,191,2126
29,56,296,535,39,907,49,1221,190,2123
30,56,295,536,39,903,50,1222,190,2123
31,56,297,547,39,898,51,1216,189,2156
32,53,293,546,39,892,52,1209,189,2150
33,52,289,545,38,889,51,1213,188,2115
34,52,289,546,39,888,51,1203,187,2113
35,52,288,548,38,886,51,1200,188,2113
36,50,283,542,38,872,53,1189,188,2092
37,47,272,526,38,852,50,1170,186,2019
38,52,283,586,39,876,61,1194,200,2583
39,52,282,590,38,873,60,1192,199,2560
40,52,281,598,39,870,61,1192,207,2573
41,52,284,599,38,870,61,1199,207,2566
42,52,286,602,39,868,62,1204,208,2588
43,52,286,603,39,871,62,1206,203,2582
44,53,283,602,37,869,62,1220,205,2619
45,55,286,614,38,870,63,1235,210,2715
46,55,290,614,37,871,65,1234,212,2744
47,55,290,617,38,868,65,1229,209,2750
48,54,287,608,36,855,59,1210,209,2670
49,54,288,610,37,860,58,1208,207,2676
50,54,289,609,37,858,59,1201,205,2665
51,54,291,614,37,858,61,1205,210,2661
52,54,291,613,37,856,61,1212,211,2690
53,53,292,617,37,857,63,1215,214,2744
54,51,288,616,38,853,63,1195,211,2711
55,51,291,614,38,850,64,1199,211,2716
56,51,289,612,39,855,65,1202,212,2709
57,50,287,615,39,855,65,1194,212,2718
58,51,291,637,39,861,69,1208,217,2938
59,52,294,639,39,860,70,1213,216,2945
60,52,292,638,39,852,70,1216,218,2954
61,53,295,643,39,857,69,1220,216,2992
62,54,286,639,39,848,69,1202,215,2966
63,55,291,656,39,856,72,1217,218,3083
64,55,289,650,39,853,73,1210,215,3049
65,58,298,674,38,869,75,1236,222,3191
66,59,296,676,37,865,75,1242,219,3185
67,56,278,650,38,817,73,1171,207,3037
68,58,275,646,38,809,72,1168,208,3039
69,57,277,654,39,822,72,1173,205,3048
70,57,280,658,39,818,73,1180,209,3122
71,57,281,665,37,823,72,1190,208,3175
72,55,271,640,39,792,71,1151,203,3077
73,56,274,650,39,792,70,1162,208,3156
74,54,253,632,37,770,70,1125,201,3076
75,54,255,636,37,773,70,1130,205,3159
76,54,257,647,38,774,70,1141,202,3188
77,54,257,641,38,779,70,1146,204,3215
78,54,260,649,38,774,69,1152,203,3244
79,54,260,646,38,766,68,1143,204,3264
80,56,259,656,38,759,71,1136,204,3350
81,56,257,661,38,765,72,1138,204,3386
82,55,255,649,37,747,73,1122,202,3349
83,55,254,644,38,732,76,1107,195,3338
84,54,246,642,38,721,76,1090,195,3316
85,52,241,629,38,707,72,1078,193,3285
86,54,243,626,38,704,73,1077,188,3301
87,55,241,638,40,702,73,1074,191,3291
88,55,242,638,40,693,74,1063,192,3287
89,53,233,629,39,674,72,1036,189,3276
90,56,235,638,39,674,72,1047,195,3344
91,56,236,642,40,678,72,1042,195,3338
92,57,234,642,40,688,72,1054,197,3381
93,57,237,647,41,681,72,1059,195,3404
94,57,236,641,39,674,72,1046,194,3389
95,54,230,649,38,660,72,1036,190,3369
96,53,228,634,39,654,71,1023,189,3347
97,53,227,640,40,651,71,1016,187,3364
98,53,228,636,39,648,71,1024,187,3356
99,52,218,631,39,615,70,994,183,3325
100,52,218,621,39,616,70,987,185,3326
101,52,218,628,39,608,69,993,187,3314
102,52,216,628,38,606,70,984,188,3327
103,51,217,628,38,605,70,981,187,3340
104,51,214,632,39,609,70,989,187,3372
