"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016"
1,7461,9283,17188,18810,8514,15205,16006,12467,3572,7011,17301,291,18133,1108,11732,10729
2,13517,2015,14659,9448,6230,1465,13013,4918,7238,11122,4377,12183,14489,3008,3211,11585
3,2057,11406,17387,8201,13250,4414,19531,9747,15551,7518,10435,13472,14561,2709,2260,19127
4,12829,17792,4107,17913,2719,18547,7305,10195,2483,18322,6225,7418,3264,16776,1497,4590
5,17906,2057,18607,5450,7534,17662,6037,12752,11953,14100,14294,4394,9955,16098,14865,18530
6,6263,9079,7672,2577,16962,14651,10600,2395,18899,7859,6030,7500,9154,17428,8272,18914
7,3235,1720,13446,8734,7563,17011,19814,7667,11491,8628,4434,13494,7768,12193,18681,880
8,16749,19587,13227,11748,8723,12083,13072,7793,19246,10716,12423,7239,3563,533,10484,18173
9,19564,16703,10239,563,192,3738,15619,13591,12417,14341,2371,7594,6566,10583,4694,6149
10,17051,9012,2611,5410,9755,12477,7086,15105,14112,797,7617,16475,19657,14203,4850,8186
11,3811,10457,7627,15439,5387,13716,7784,8843,18982,6682,12902,3022,18052,15995,10673,1556
12,4240,14081,9759,6200,18626,9672,6756,16319,9536,16505,5900,4863,8047,10667,3407,6670
13,8730,12656,10756,9021,4647,7612,3880,12695,1017,16000,11494,6366,15096,17925,2137,6363
14,11766,17433,3670,14027,10451,13409,7357,9983,13488,8759,5167,15652,2868,3016,18254,14770
15,11185,2822,18870,11650,10568,5490,2498,1968,8712,12608,10278,1469,14465,11059,11288,16523
16,17984,16023,14655,16218,4627,7098,4504,6502,18292,15479,17026,4041,4451,18227,4188,4779
17,14466,9346,5622,7204,3634,12445,15169,16706,16032,9911,16057,6050,2992,12143,7861,2572
18,5386,5039,10454,2312,18853,1553,14849,9680,5704,16141,13486,19848,16612,2837,11024,4567
19,5118,10769,13509,17122,14288,2899,5867,17695,13993,11181,4313,4631,7508,4902,14199,12467
20,8943,7339,9847,1011,2124,13795,9845,10924,12448,16763,9165,10174,18626,11319,15713,6064
21,6974,3832,12337,5240,3282,11739,19100,13186,13265,4887,2926,3407,5733,7286,15296,14741
22,2433,16332,6122,8096,8175,7331,18645,18653,17933,19447,10163,18425,2246,4594,4356,5745
23,16714,6529,16499,15805,7275,4130,5670,2838,17185,8115,11314,430,6083,13837,18437,1455
24,11363,15695,13090,4492,4189,290,13259,8890,18505,781,9153,13674,5923,9829,18653,14295
25,13193,4241,11240,4745,5502,15665,8064,14866,12489,17257,2800,18793,10251,14680,15687,8657
26,9400,11732,14625,19179,4378,8122,11283,18919,674,10376,14672,12965,8190,556,12981,6788
27,13267,12121,4468,411,6208,14499,6848,6875,9154,10998,17079,7648,18628,11341,13130,575
28,8687,15894,13865,9352,16107,16302,15897,1465,16608,5213,11771,3120,14009,3786,3491,10040
29,13204,2547,370,5365,19928,17297,15239,8414,19819,16441,3354,4327,14823,276,776,14639
30,13128,14496,17410,5375,5251,18950,1466,2055,15380,2051,15712,18125,4091,13428,16537,2567
31,16447,9266,1288,17610,18369,5143,6183,5731,1144,1123,14231,7251,9368,4588,19345,9161
32,9995,2846,16646,5422,4544,17723,6955,2991,7959,12683,18511,9341,11213,14079,16759,450
33,938,7430,6640,6371,15468,13686,5147,16035,11100,201,18171,4334,12742,11242,7040,5310
34,9768,8990,12365,15415,16821,9485,15491,12164,9490,3266,11013,5572,18835,17274,6958,8926
35,4274,13347,10450,15089,5300,8246,792,11459,1372,7348,9059,8110,17255,17773,5018,3349
