"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015"
1,11404,6777,6886,18055,14157,14664,16229,11142,19746,15853,4873,14114,19541,13275,19712
2,5851,14851,10840,8557,2875,9963,15413,6968,11338,7662,14915,2242,11635,1456,5839
3,9568,11437,11870,16250,14743,17456,456,12079,15710,17385,4245,2595,13655,11211,6893
4,3722,15695,11234,16567,2683,11080,11503,7843,2453,2584,7391,9946,10774,5395,13584
5,7083,4460,1248,1931,2547,9697,8548,12311,18041,4128,12019,7787,4737,1782,14285
6,527,15883,19680,13367,8437,2947,14882,1025,6064,13295,10250,7006,13808,3169,771
7,12914,13456,2255,18352,14901,1972,17484,4929,8009,4073,4964,4222,17936,16599,5906
8,7426,4759,16853,197,1640,19132,3290,19304,9064,3826,15919,19730,9877,16481,18863
9,19735,9202,475,18300,11735,1145,12205,1099,7762,16590,19805,4728,18542,5405,6396
10,6464,18423,4601,462,14741,3961,17049,8489,17410,4533,1702,7546,5042,6598,13666
11,3343,9156,2922,12620,13975,12379,11349,11747,6529,7530,12225,6680,7973,16885,4294
12,13476,15980,16369,18852,2891,15598,1559,10491,9064,14609,12153,19888,10384,18355,18279
13,9251,16153,18220,15753,7575,16945,1757,15097,16157,6813,19024,18905,15920,12315,1184
14,14999,1228,14369,19637,3971,9793,9739,18061,15861,18044,15242,19723,7682,7035,11733
15,514,2309,17926,3454,14472,9824,16878,4596,14472,1118,20000,16734,1631,19549,13991
16,18207,9861,5902,18624,9972,12998,10988,16212,17266,13859,3400,18727,2994,19784,1850
17,347,15190,8107,16740,11575,18744,19210,1921,7397,13494,7831,11867,15933,5049,10883
18,1154,9858,18260,7291,2086,682,18085,8152,9502,11661,140,19103,15417,18793,11385
19,702,3054,7093,2097,5453,7178,15411,1663,13694,7646,8526,16683,8824,9057,13057
20,1120,6888,104,8921,2536,6261,3947,8354,5182,9510,19354,6283,19654,18924,1557
21,16281,8694,18171,12977,10777,18617,7672,3404,8064,5299,7894,10002,17305,7395,15303
22,1916,4348,17167,16173,4526,5169,3501,15920,4176,8747,8239,856,17952,583,18448
23,14743,10828,4926,11962,16600,14365,441,17547,16496,18686,14531,14279,140,13961,9340
24,12290,148,4861,8023,936,14205,4045,19838,9719,18994,3240,5378,10383,7819,19751
25,2739,889,15027,6646,12534,1935,16321,1206,9280,19715,19393,17062,6169,11340,3352
26,16453,2160,8970,10071,16062,6586,2367,14764,6538,7682,14838,3322,5885,7967,2374
