"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012"
1,6131,4850,18388,6592,11065,16811,19352,14031,7090,14728,14115,7546
2,15137,19333,10694,12486,6192,12120,12559,4413,2871,8309,507,3422
3,16360,18482,19048,3313,1652,2209,7573,1414,4043,17418,7155,2459
4,17502,6404,1064,18394,6141,7736,12646,5444,15201,12465,10689,3894
5,8697,2528,13789,7756,16067,16849,7743,15425,3779,4598,10465,8714
6,14568,4081,15322,18855,13812,16012,15040,6797,2766,6503,8107,9723
7,13287,4814,7223,4691,12880,2436,6156,3844,9688,17909,12482,12685
8,6846,7588,12591,3437,4623,13926,19854,15881,9937,5484,16524,8660
9,5563,16623,19321,7191,2547,7309,16494,13546,15129,19117,15727,18977
10,18050,13568,17524,8201,12806,19903,12403,3892,10348,6902,17246,9198
11,7288,18229,2641,8414,8401,3427,8951,9161,14408,17564,13536,5618
12,9124,3642,14978,897,11648,11742,11935,6584,14795,10728,11951,14331
13,13534,10458,14284,13161,15933,19948,5574,6037,10481,9024,17862,8160
14,18280,3320,2216,284,8397,12358,13842,17211,17458,12758,13723,12902
15,2765,1468,9887,3922,16484,19395,9797,6375,9304,18739,239,14939
16,1933,18974,9234,2793,733,1226,15476,16908,2291,1180,12755,10428
17,10243,4852,1274,8132,7533,4049,19523,10517,3342,7428,1335,18368
18,14251,657,3295,14278,18330,14032,5574,13652,18853,19231,16378,16221
19,250,18093,16211,17493,13604,14477,8418,8502,19756,17918,1991,2731
20,15740,2669,4196,2080,10087,16962,3853,14217,9510,233,2740,10811
21,14196,19237,11764,19701,4364,15338,12112,18909,8194,8849,11931,6281
22,7138,15600,9850,3207,11184,3624,5596,4884,15200,11472,13647,2647
23,10582,12720,1081,348,13366,14985,6629,2990,10788,17667,10623,17296
24,5118,9926,2236,3261,17639,7127,12702,10352,9786,19891,19219,12607
25,146,9223,17616,7137,4559,10490,6025,3153,5996,16574,8331,18853
26,19958,16979,7219,14819,12522,12932,8566,14748,7102,12446,14693,319
27,8719,663,17832,14067,2792,9497,5578,14371,17054,10108,7213,15217
28,11645,17090,9943,4922,6317,17036,3616,14177,15288,14182,12086,18295
29,1203,371,1800,16301,7890,17995,13750,16866,10761,15664,3758,12934
30,14666,16432,19577,8462,12853,14181,10193,13907,16410,6183,3234,1471
31,8195,14084,14810,15399,4439,11754,12548,16964,3312,15530,12437,12870
32,6532,11618,19536,5571,11914,19777,10749,3283,5222,12200,2281,9922
33,18357,4556,6493,9797,14360,2564,2735,14816,1089,8880,3394,3752
34,3773,1146,16318,5034,2132,11258,1937,8367,10184,2995,13015,4999
35,15198,18360,8661,9001,19816,16259,8854,9039,7864,9056,9829,10495
36,13371,7316,10626,9274,13098,7463,14149,18650,14648,2215,6256,15780
37,17982,9537,15664,18855,5425,5258,9435,14398,12178,8940,11399,15510
38,16700,153,15586,18482,4239,14714,15715,7348,18624,4169,5921,11590
39,1243,5151,9767,6092,16422,18623,1351,10267,10238,17585,4159,6709
40,17739,9194,12213,7732,1568,1709,989,12310,19988,17345,4239,19512
41,11718,10810,13853,7433,15054,5818,3642,572,14024,11066,14895,10624
42,3320,7165,19886,1973,5519,15345,14578,9751,5170,17600,1362,17427
43,12984,10439,5720,19843,18196,8322,19224,2912,7591,277,7378,19926
44,19680,1318,6601,13517,9442,5236,9162,5907,17851,12555,9151,10532
45,16077,16697,3963,11631,6374,1097,8345,2563,4217,10320,16499,6847
46,11950,9454,3784,19370,10406,14764,13587,11377,14523,1243,10530,8609
47,16316,13008,15087,19406,8519,13857,16289,7349,11032,2842,15569,5379
48,11942,5015,10072,8323,7240,19361,4926,10983,15396,18710,10348,13385
49,6665,16413,9297,9584,5310,488,14920,6645,15517,17890,14275,8072
50,13662,18996,13509,14719,3244,11397,4300,6006,19367,163,13113,2705
51,4053,16341,13396,4108,16479,8399,18533,2796,16692,11794,19498,363
52,12593,14777,17520,11036,11077,11586,4781,15746,18040,17720,11713,9820
53,215,3434,5967,7706,9016,6048,6403,18055,10615,18903,18496,11568
54,2687,5275,6580,10855,14513,10122,11887,5542,15010,14703,7711,337
55,6710,576,12750,2517,5457,2638,3854,226,18819,17402,12860,16236
56,929,8364,348,7555,12998,1420,8329,9608,5963,8274,932,9718
57,6180,7510,758,8456,16396,16040,12194,14517,13377,9419,18836,3935
