"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014"
1,14314,11440,1784,16359,9777,18013,16954,5928,421,5726,7233,18092,12111,13936
2,4581,9980,18322,10938,5110,6863,17322,13230,17643,1226,9243,8631,5040,10535
3,4982,5061,10230,6872,10711,4439,12326,16833,9395,18740,5915,1156,6495,3525
4,150,10928,2594,8557,11136,8516,16364,7531,1457,17862,11485,9777,5598,14520
5,3063,1865,17853,7101,13037,9794,16051,12648,9194,8772,15229,18231,2446,8634
6,13095,18115,14946,6218,19199,6736,583,11319,8012,1230,7496,6525,3114,5009
7,17842,1414,13098,9496,681,2681,13621,16117,13989,2494,10574,10801,7431,2189
8,2577,5847,17835,5072,17360,15894,2199,4209,15307,12146,10127,2028,4789,328
9,8850,14697,7163,6407,12129,1714,10264,2703,18597,16692,3305,3938,19964,13646
10,17333,5110,10744,12361,1370,11816,9976,11072,3068,19036,19385,11627,15777,2061
11,12308,8844,15878,12810,12921,18279,6615,17678,18191,1275,5644,18618,1439,10089
12,7105,7016,14566,15462,16929,12431,12988,18550,3264,4805,8535,18278,13242,6287
13,11925,1406,8427,5195,17179,10621,15998,7836,302,8622,18008,10439,10486,15446
14,16089,1432,12461,150,5670,16149,19685,14566,6738,7399,14473,3900,968,19685
15,5400,11735,9512,14455,10886,4313,11587,18260,7588,17017,3118,10997,14579,438
16,9390,414,15789,16937,18231,10648,10220,4853,18352,17212,2864,12214,6544,5084
17,2719,183,15481,17058,10411,19289,16968,19226,19780,6743,2127,16523,3099,13607
18,8581,16527,9237,273,3480,9256,488,14369,13986,12464,15188,16499,19465,11435
19,9615,19677,13653,14322,1967,13188,123,11245,10120,17124,4818,13164,10181,2680
20,1140,19334,3069,899,8125,18310,1164,16694,4897,6565,6076,9104,3697,18321
21,3183,17090,577,9357,8653,10394,5933,12656,12614,11762,14477,18831,7790,724
22,13706,2337,3286,2139,1904,13721,3507,434,10358,6238,19968,7645,13883,897
23,1850,5049,16265,13125,16812,18568,1705,1889,8206,15686,3434,14456,11899,14636
24,2839,10052,4995,2967,9821,7846,15627,7064,18852,4046,16789,15287,7995,14139
25,8625,16455,5299,13559,12823,15741,16623,12899,13869,8429,14020,7069,15276,15507
26,8386,9643,11799,18863,13561,14862,12558,14463,12096,19585,19924,7322,16571,5130
27,15536,11259,2912,10170,15848,7602,1722,17373,15055,19412,10579,2787,640,1142
28,13076,11975,2454,9879,2162,10880,11781,3876,9859,18566,984,10689,12706,16291
29,679,4511,6050,1262,716,13963,14426,653,5478,12194,6271,7793,4003,15704
30,14322,12244,2758,17806,752,4167,15686,15453,9774,6362,11029,7740,18312,7546
31,6076,11713,13707,12584,17174,7071,3748,14473,3116,5395,17941,11183,12354,19508
32,5336,4663,423,15602,11076,8083,3609,10636,7756,3225,7304,7957,19062,16857
33,2585,16966,18872,6918,19472,8861,7969,1803,848,17742,17652,8018,4543,18359
34,16867,6736,19236,2473,17438,10881,9386,2220,10591,5728,4608,19126,8587,16175
35,2798,3421,799,14422,9784,16778,8487,3975,3485,19368,5771,14178,11624,9476
36,18577,18866,14066,16638,11246,9563,3672,19579,11103,9442,4592,6413,14674,10929
37,9981,11930,17347,13722,6788,9198,6092,9433,1098,9763,4224,17602,6036,4367
38,11621,10438,14036,5964,16403,9851,325,16529,527,9442,14490,11632,6001,3891
39,4861,10780,9188,14448,11261,16049,1497,14481,14986,10751,7167,3790,146,9330
40,15215,18262,1187,4998,11050,4599,4448,12639,17421,9318,11393,3287,13670,114
41,3832,7057,8003,9012,4536,9064,5713,16148,5647,3727,11350,14299,18016,1567
42,17226,9284,8504,1355,2534,1488,2845,11801,15812,19244,10339,11921,15476,3313
43,8330,1395,11547,10716,16557,10971,8390,16750,1311,10014,11148,9198,6135,2088
44,112,2351,7279,6523,4367,1927,11862,5207,13286,14861,13182,3750,12958,7234
45,12459,7780,6947,696,470,13740,15956,5313,19115,16020,10122,10729,7099,2643
46,19206,9560,5623,6703,13120,18703,4202,12553,1097,14721,8462,13222,9037,5750
47,9398,17054,8217,12608,13127,9744,1406,12621,12767,8747,18710,6665,4054,6374
48,14834,6609,7511,4090,9906,4613,16559,8000,7924,500,18264,1424,15421,12860
49,19440,6758,10079,858,18769,18497,10402,3617,8208,14247,8879,12238,1774,14075
50,13171,16974,13385,13893,11620,8679,17304,5932,17749,17991,10318,9644,3960,1446
51,5992,1672,15729,12161,13482,811,16673,16990,3246,16411,11498,14949,6579,2673
52,13224,19250,16680,19596,7387,15252,18357,559,6543,14136,13518,10148,15451,16110
53,12628,3862,4893,12007,15043,2673,14206,315,15312,3194,19980,15778,19615,5024
54,10295,19803,4919,17677,8779,17315,17404,9971,11709,10388,9827,5636,16087,11941
55,6681,3984,17721,16935,8134,4011,5379,4040,11596,7694,6146,3139,389,2058
56,19514,3743,14870,10331,8486,8505,13958,18780,11820,7195,18194,2952,13012,3927
57,13517,19663,2673,1605,337,18836,9174,10399,11956,3270,5493,1919,285,8980
58,13536,5173,10647,1225,11154,16624,18862,5357,18204,10799,6217,14896,6188,13961
59,7720,5738,7049,15540,14805,19019,3383,8638,302,6429,16781,6579,6549,9095
60,1021,4134,3996,7231,4998,7508,9511,5712,17842,8197,4143,9279,702,4714
61,483,13016,8754,11572,4470,9545,16323,17033,6358,14210,10446,11873,3338,19377
62,17604,11645,14042,6706,14437,13247,3751,15798,19952,8567,3729,9051,17288,8730
63,5641,13572,6516,14901,2346,14871,6604,2950,12475,12967,16085,5032,16818,5707
64,2102,3469,527,2919,17066,13805,2406,7879,3051,9796,5664,10022,11367,14196
65,2052,9983,7903,18358,2145,19043,10313,11072,5432,16758,12866,13613,6752,11519
66,16244,14112,14732,12773,11325,13719,17885,13156,16462,4230,13709,1233,14122,7455
67,3795,5592,2091,10537,8578,18394,11971,13793,17607,13475,16600,7465,5970,4056
68,4399,5343,14959,9565,358,10680,8956,11204,19296,19616,17025,16453,2082,2640
69,9929,16844,3082,18491,18390,13138,4709,9233,10705,8045,6924,16240,8451,584
70,7861,980,10434,9838,4108,10788,15930,14817,283,720,13311,16974,9017,4628
71,16674,4003,7423,18180,12268,1238,6648,14526,519,16287,5107,1334,16366,17007
72,11152,14901,15183,17863,13561,3080,10086,12354,11356,7075,7060,10169,10175,16904
73,607,8807,6195,12162,16048,13214,4286,16899,8340,11382,1032,7659,3166,15117
74,17018,4160,17025,11959,11092,19656,1093,14851,7354,13816,10211,7987,10061,13697
75,17764,12344,13191,4447,10364,12426,9033,13087,10555,13615,16546,16660,15609,3019
76,8304,2348,8423,2797,6359,18215,5800,2649,15339,2861,9608,8083,5096,18601
77,15364,14875,1996,13632,14034,19140,15206,18682,3859,17313,13435,5460,17159,2981
78,3644,3914,2070,4172,4769,12340,13280,10923,7636,14050,7214,12860,1972,17807
79,13187,5244,16287,6069,5648,15564,7327,3482,14818,11530,10683,5293,936,4454
80,13263,3400,8113,6006,13052,8290,7952,15942,4890,8901,19623,2919,361,14864
81,9641,3154,17475,12415,16777,15579,15353,16128,4347,7340,10164,13440,9161,1178
82,10807,11979,10377,7473,7401,8179,9006,17570,14590,1473,7542,3756,4146,4272
83,11160,1989,13933,6494,12627,11086,7853,4362,7716,1923,18470,6155,11992,1112
84,9961,9284,6876,10170,9461,5202,15568,10411,5771,1775,3430,903,4951,12345
85,3116,13150,4957,8807,16469,3225,3135,13395,7867,15700,3255,9191,9968,3587
86,17419,5691,3323,14366,18612,9893,6719,14153,13679,317,6794,18306,11484,8076
87,17877,12586,7726,17042,3196,8329,10253,17028,18343,6099,18684,4121,15854,15717
88,516,19844,13909,14758,10015,10172,3975,17254,2895,17572,15789,12729,8016,1827
89,8103,12855,17384,5556,15101,18956,17034,2304,5834,7176,12567,945,4023,19123
90,16900,3771,19797,10247,6220,4225,15285,11065,8966,19134,3532,8575,6245,12013
91,11723,17971,10341,2557,4681,7563,859,10569,4452,5332,18817,16756,15314,1468
92,12393,10561,8288,11312,4667,14169,5142,7105,3428,6819,4058,9001,2214,5592
93,667,17410,6710,19781,8259,11689,8369,12431,7480,5868,18424,938,17354,5333
94,14786,9654,10894,2637,15934,1010,5654,17309,2589,19737,883,16829,6359,3964
95,2015,3242,16328,18767,19019,7612,9114,12094,18778,346,13253,16834,19747,16926
96,4377,19194,1418,9985,8338,1266,8690,4405,12364,3940,6609,12150,2366,431
97,19031,5452,8985,8633,5891,11883,13808,15572,4903,1182,13294,15361,19541,18627
98,12585,13330,5974,6793,8805,13277,19269,13750,17971,10502,4859,19917,14555,6479
99,6508,5005,6307,13547,8331,11816,13332,17766,8175,1980,13345,1758,8031,4774
100,17198,11938,3753,276,11071,9884,9799,11632,580,4906,6471,4525,5427,872
101,11438,18498,8171,9947,10002,11167,7626,7103,4701,14946,13701,14221,7461,191
102,12128,8621,7288,3159,19748,12044,12688,16770,4814,10763,13391,10677,817,6074
103,3997,5872,8064,17620,16009,3988,788,7811,279,8645,17517,3858,7010,9409
104,7926,3744,7720,15034,12136,7041,7848,4791,10778,10605,13207,13740,9990,10954
105,9612,15531,16405,11955,12301,17188,18801,18596,14703,15667,8903,3242,6826,1231
106,12289,18837,15778,16429,12328,11435,1025,10936,16572,1838,8677,4057,16646,15071
107,15722,17098,3416,5986,15034,7229,17754,10352,9098,3134,7260,19219,7815,8483
108,10652,6716,16445,15678,2818,18342,10696,8754,709,9080,11785,489,5959,4351
109,6659,19352,17310,3310,14614,822,12445,11547,15198,10030,11665,7804,2325,7572
110,10127,166,15864,15962,1023,217,9926,12885,7982,4994,5621,10083,12639,3674
111,727,5846,5009,10874,743,4038,5211,3983,7466,4613,6359,12748,12786,16729
112,2153,16857,15370,12501,13983,991,19225,15212,13187,11144,11396,12287,10444,13165
113,13053,15098,14764,8959,18690,5926,15402,12989,2343,16399,14171,4025,15678,8294
114,5601,14094,10244,6585,9791,13199,16153,13114,14873,14931,10848,2395,5009,9646
115,15692,14254,4246,11138,2836,7376,7445,3774,11897,10559,15943,16776,10480,14961
116,8294,19789,19948,17628,13843,13471,17085,2757,17776,6638,18564,10003,7595,17449
117,5395,11203,18097,18891,18103,11901,13124,3106,2937,12108,16909,17359,16753,10212
118,6529,16449,13134,15249,12591,16877,1985,15632,8756,10170,16569,17496,13176,16623
119,12590,2516,19306,13553,13554,15652,2472,13237,15188,212,1428,10325,4528,7580
120,12129,10305,7790,8281,5171,6616,17595,1556,6309,15505,3930,4387,3880,4115
121,3548,10808,2178,9247,2967,5139,15751,6676,12620,16378,13830,18168,11501,3709
122,1575,11549,16306,6192,7872,9758,2265,16432,7706,10207,13419,3688,19942,6101
123,18143,390,10400,1990,11280,15658,17549,10676,12894,4887,16954,8610,14571,4380
124,12959,12452,6711,13037,17284,7416,12667,13463,4079,11107,565,19165,9131,9003
125,4387,13319,5408,9965,8943,12355,3300,9992,9186,1485,15224,10057,10804,4647
126,17284,16472,13793,4466,5987,4897,13599,13369,11183,9673,1727,16785,7612,3099
127,6328,17120,2284,17674,16619,14332,14064,5281,2927,6766,17344,16584,3815,7098
128,4625,16564,15494,12587,12543,18627,13793,1864,17545,14616,203,5616,15170,307
129,15076,5755,15963,13825,4559,516,19506,4723,10767,19098,13853,4677,3606,16817
130,11037,9941,9738,5929,10611,11688,7056,4386,18451,19518,12335,9571,7597,14915
